"curp_funcionario","r_70-2010_COMPRAVENTA_TOTAL","r_70-2010_DONACIÓN_TOTAL","r_2010-2015_COMPRAVENTA_TOTAL","r_2015-2020_COMPRAVENTA_TOTAL","r_70-2010_COMPRAVENTA_VALOR","r_70-2010_DONACIÓN_VALOR","r_2010-2015_COMPRAVENTA_VALOR","r_2015-2020_COMPRAVENTA_VALOR"
"ABAG780123HVZYRL05",2,NA,NA,NA,170266978,NA,NA,NA
"ABAM881010MDFYVT07",1,NA,NA,NA,2605031,NA,NA,NA
"ABBA870314MSNRRN07",1,NA,NA,NA,4937025,NA,NA,NA
"ABCE790011HVZRLL09",2,NA,NA,NA,64137016,NA,NA,NA
"ABCR720008MSNRSB08",1,NA,NA,NA,8000717,NA,NA,NA
"ABEI730715HAGRPN07",3,NA,NA,NA,165876450,NA,NA,NA
"ABFJ871119MPURGN02",1,NA,NA,NA,2896678,NA,NA,NA
"ABJG820014MAGYRR08",1,NA,NA,NA,3917190,NA,NA,NA
"ABNS890812MVZRZN06",3,NA,NA,NA,89259349,NA,NA,NA
"ABPJ861006MSNYZN08",3,NA,NA,NA,289545271,NA,NA,NA
"ABRH880427HDFRNR02",1,NA,NA,NA,1955123,NA,NA,NA
"ACBC840518MVZSRM06",1,NA,NA,NA,1717838,NA,NA,NA
"ACBJ720419HSNVÑL09",1,NA,NA,NA,1248643,NA,NA,NA
"ACBM850110MDFSRR05",3,NA,NA,NA,223534850,NA,NA,NA
"ACBR890726HVZSRL02",1,NA,NA,NA,1479159,NA,NA,NA
"ACBS730510MVZVRL09",3,NA,NA,NA,281943984,NA,NA,NA
"ACCA710224MAGÑHS05",2,NA,NA,NA,218611695,NA,NA,NA
"ACCM840324HVZVBR04",2,NA,NA,NA,186908390,NA,NA,NA
"ACDJ891013HAGSMN05",1,NA,NA,NA,2842265,NA,NA,NA
"ACFA830526HDFVLN05",3,NA,NA,NA,178817143,NA,NA,NA
"ACLJ860822MVZSYM06",1,NA,NA,NA,4550270,NA,NA,NA
"ACMD880226HSNSTN02",1,NA,NA,NA,9485370,NA,NA,NA
"ACMN740927MPUVNT03",3,NA,NA,NA,209998062,NA,NA,NA
"ACOC721011MSNVVN08",1,NA,NA,NA,2887852,NA,NA,NA
"ACRA880311MVZÑLX04",1,NA,NA,NA,8783179,NA,NA,NA
"ACRG771021HAGÑYL04",1,NA,NA,NA,8758323,NA,NA,NA
"ACSE870702MAGVRundefined01",3,NA,NA,NA,135692752,NA,NA,NA
"ACTJ871012MAGVVS01",1,NA,NA,NA,2608885,NA,NA,NA
"ACVE800525MDFÑRL04",1,NA,NA,NA,4477385,NA,NA,NA
"ADAJ870425HAGMML03",2,1,NA,NA,146245652,122846202,NA,NA
"ADCL860208HSNMLS05",3,NA,NA,NA,257668673,NA,NA,NA
"ADCV790819HAGRRN04",3,NA,NA,NA,240387118,NA,NA,NA
"ADHB830001MVZMXR01",1,NA,NA,NA,4734386,NA,NA,NA
"ADJI750913MSNMMN08",2,NA,NA,NA,198469758,NA,NA,NA
"ADLE700123MVZMPS03",2,NA,NA,NA,92860235,NA,NA,NA
"ADRV831118HPUMLC05",2,NA,NA,NA,69459464,NA,NA,NA
"ADTV850814HDFMRN07",2,NA,NA,NA,79404612,NA,NA,NA
"ADVE850312HAGMLT05",1,NA,NA,NA,4434934,NA,NA,NA
"ADVL880902MDFMLZ03",1,NA,NA,NA,1451755,NA,NA,NA
"ÁGAR730717MPULDC05",2,NA,NA,NA,66687986,NA,NA,NA
"ÁGAR850314MDFLRL09",3,NA,NA,NA,286277917,NA,NA,NA
"AGBJ840219HPUSRN09",1,NA,NA,NA,1377803,NA,NA,NA
"AGCA811122MAGSRJ02",1,NA,NA,NA,1097196,NA,NA,NA
"AGCJ811009MDFRMM05",1,NA,NA,NA,1642019,NA,NA,NA
"AGCM730518HDFSRR02",1,NA,NA,NA,4140813,NA,NA,NA
"AGDS840820MVZLLM05",1,NA,NA,NA,208845,NA,NA,NA
"AGGM810421HDFYZR04",3,NA,NA,NA,173014689,NA,NA,NA
"AGKB810425HPUYRR04",1,NA,NA,NA,2362339,NA,NA,NA
"AGMB741111MAGSSR06",1,NA,NA,NA,1265843,NA,NA,NA
"AGME760709MSNYLS02",3,NA,NA,NA,234142088,NA,NA,NA
"AGMG761119MVZYNR01",1,NA,NA,NA,77620401,NA,NA,NA
"AGMM830022HDFSRR09",1,NA,NA,NA,8253377,NA,NA,NA
"AGNA851008HAGSRF02",2,1,NA,NA,220085454,131127277,NA,NA
"AGSC710823HVZSZR09",3,NA,NA,NA,214228989,NA,NA,NA
"AGVÁ810524MPUYLG08",1,NA,NA,NA,1298170,NA,NA,NA
"AGVM890814HDFYLR04",2,NA,NA,NA,115437701,NA,NA,NA
"AGZS750412HVZSMM02",3,NA,NA,NA,274642866,NA,NA,NA
"ALAA700327HPUCVJ04",3,NA,NA,NA,197237640,NA,NA,NA
"ALAÁ750817HVZCCG09",1,NA,NA,NA,945513,NA,NA,NA
"ALAÁ830614HDFRDG04",1,NA,NA,NA,3555633,NA,NA,NA
"ALAE720320HSNMSN02",3,NA,NA,NA,304195141,NA,NA,NA
"ALAF850520MAGMCR09",2,1,NA,NA,144727007,41174143,NA,NA
"ALAJ830425MVZNSR05",2,NA,NA,NA,130588561,NA,NA,NA
