curp_funcionario,tipoOperacion,titular,porcentajePropiedad,formaPago,valorAdquisicion,fechaAdquisicion,datoIdentificacion,valorConformeA,tipoInmueble.clave,tipoInmueble.valor,superficieTerreno.valor,superficieTerreno.unidad,superficieConstruccion.valor,superficieConstruccion.unidad,formaAdquisicion.clave,formaAdquisicion.valor,domicilioMexico.calle,domicilioMexico.numeroExterior,domicilioMexico.numeroInterior,domicilioMexico.coloniaLocalidad,domicilioMexico.municipioAlcaldia.clave,domicilioMexico.municipioAlcaldia.valor,domicilioMexico.entidadFederativa.clave,domicilioMexico.entidadFederativa.valor,domicilioMexico.codigoPostal,tipo.clave,tipo.valor,tercero,transmisor,valorAdquisicion.valor,valorAdquisicion.moneda,domicilioExtranjero.calle,domicilioExtranjero.numeroExterior,domicilioExtranjero.numeroInterior,domicilioExtranjero.ciudadLocalidad,domicilioExtranjero.estadoProvincia,domicilioExtranjero.pais,domicilioExtranjero.codigoPostal,motivoBaja.clave,motivoBaja.valor
ABAG780123HVZYRL05,SIN_CAMBIOS,"[{'clave': 'DEC', 'valor': 'DECLARANTE'}]",100.0,CONTADO,81306842.0,2002-05-16T00:19:32.105Z,6138b452-53a5-4363-b081-63f31de9617a,ESCRITURA PÚBLICA,CASA,CASA,204.0,m2,165.0,m2,CPV,COMPRAVENTA,Esteban Arrabal,310,,Independencia,034,San Carlos,28,Tamaulipas,87754,PALC,PALCO,,,,,,,,,,,,,
ABAG780123HVZYRL05,SIN_CAMBIOS,"[{'clave': 'DEC', 'valor': 'DECLARANTE'}]",100.0,NO APLICA,87403907.0,1971-10-27T05:17:25.677Z,21cd9b72-7242-4ce6-8ab7-9336b89970c1,ESCRITURA PÚBLICA,CASA,CASA,6119.0,m2,5799.0,m2,HRN,HERENCIA,Quinta Conjunto,996,,Emiliano Zapata,014,Rosario,25,Sinaloa,80435,EDIF,EDIFICIO,,,,,,,,,,,,,
ABAG780123HVZYRL05,SIN_CAMBIOS,"[{'clave': 'DEC', 'valor': 'DECLARANTE'}]",100.0,CONTADO,88960136.0,2009-04-30T20:50:25.040Z,0d268d86-d305-4379-a886-47435a66b387,ESCRITURA PÚBLICA,CASA,CASA,412.0,m2,348.0,m2,CPV,COMPRAVENTA,Menchaca Ramal,1339,,Justo Sierra,009,Francisco I. Madero,05,Coahuila de Zaragoza,25426,PALC,PALCO,,,,,,,,,,,,,
ABAM881010MDFYVT07,SIN_CAMBIOS,"[{'clave': 'DEC', 'valor': 'DECLARANTE'}]",100.0,CONTADO,2605031.0,1994-12-16T22:02:55.567Z,cceecd67-38df-47db-996f-005a9fb280b4,ESCRITURA PÚBLICA,CASA,CASA,141.0,m2,141.0,m2,CPV,COMPRAVENTA,Gustavo Vía,1631,,Anahuac,006,San Quintín,02,Baja California,21951,BODG,BODEGA,,,,,,,,,,,,,
ABBA870314MSNRRN07,SIN_CAMBIOS,"[{'clave': 'DEC', 'valor': 'DECLARANTE'}]",100.0,CRÉDITO,4937025.0,2001-01-23T17:08:13.348Z,6f990c1a-a1ac-4da5-b432-fea15b76f27d,ESCRITURA PÚBLICA,CASA,CASA,179.0,m2,102.0,m2,CPV,COMPRAVENTA,Saúl Calleja,467,,Ejercito Nacional,168,Tepexco,21,Puebla,72503,BODG,BODEGA,,,,,,,,,,,,,
ABBE760411HAGRRR08,SIN_CAMBIOS,"[{'clave': 'DEC', 'valor': 'DECLARANTE'}]",100.0,NO APLICA,7745038.0,2001-06-27T04:30:57.696Z,775d632f-17fa-4963-b920-c435db37ac82,ESCRITURA PÚBLICA,CASA,CASA,159.0,m2,138.0,m2,HRN,HERENCIA,Gallegos Carretera,1223,,Granjas,028,Cuautla,14,Jalisco,44966,LOCC,LOCAL COMERCIAL,,,,,,,,,,,,,
ABCE790011HVZRLL09,SIN_CAMBIOS,"[{'clave': 'DEC', 'valor': 'DECLARANTE'}]",100.0,CONTADO,31648576.0,1997-04-14T22:33:39.183Z,524aa7d8-0314-45bb-b410-2345aa33db2a,ESCRITURA PÚBLICA,CASA,CASA,488.0,m2,165.0,m2,CPV,COMPRAVENTA,Sierra Poblado,254,,Lomas de becerra,068,Fortín,30,Veracruz de Ignacio de la Llave,91178,CASA,CASA,,,,,,,,,,,,,
ABCE790011HVZRLL09,SIN_CAMBIOS,"[{'clave': 'DEC', 'valor': 'DECLARANTE'}]",100.0,CONTADO,32488440.0,1990-07-05T03:58:56.382Z,461aa53a-3631-4805-bff6-24be7cbefcdc,ESCRITURA PÚBLICA,CASA,CASA,433.0,m2,420.0,m2,CPV,COMPRAVENTA,Miguel Sector,1333,,Independencia,108,Tuxpan,14,Jalisco,44564,PALC,PALCO,,,,,,,,,,,,,
ABCE790011HVZRLL09,SIN_CAMBIOS,"[{'clave': 'DEC', 'valor': 'DECLARANTE'}]",100.0,NO APLICA,28654578.0,1993-08-13T04:17:15.727Z,ab0f6f14-cb05-4872-a62b-78ac13d3fecd,ESCRITURA PÚBLICA,CASA,CASA,5960.0,m2,5667.0,m2,CSN,CESIÓN,Leticia Sección,45,,Granjas,003,Atlangatepec,29,Tlaxcala,90836,TERR,TERRENO,,,,,,,,,,,,,
ABCR720008MSNRSB08,SIN_CAMBIOS,"[{'clave': 'DEC', 'valor': 'DECLARANTE'}]",100.0,CRÉDITO,8000717.0,1980-02-01T11:32:37.874Z,dbf5021a-ac17-420e-8135-e86aefef9088,ESCRITURA PÚBLICA,CASA,CASA,140.0,m2,126.0,m2,CPV,COMPRAVENTA,Ontiveros Camino,601,,Moctezuma,370,Santa Catarina Tayata,20,Oaxaca,68527,DPTO,DEPARTAMENTO,,,,,,,,,,,,,
ABEI730715HAGRPN07,SIN_CAMBIOS,"[{'clave': 'DEC', 'valor': 'DECLARANTE'}]",100.0,CRÉDITO,36105499.0,1981-02-20T11:27:41.953Z,b8ca3e15-2761-4c84-a614-ba38aed9b60e,ESCRITURA PÚBLICA,CASA,CASA,3431.0,m2,2431.0,m2,CPV,COMPRAVENTA,Martín Torrente,1448,,Venustiano Carranza,053,Villa González Ortega,32,Zacatecas,98603,RACH,RANCHO,,,,,,,,,,,,,
ABEI730715HAGRPN07,SIN_CAMBIOS,"[{'clave': 'DEC', 'valor': 'DECLARANTE'}]",100.0,CONTADO,19136048.0,2005-09-08T07:38:04.103Z,bb8cdd84-559f-4b85-a1d4-69422028199f,ESCRITURA PÚBLICA,CASA,CASA,475.0,m2,181.0,m2,CPV,COMPRAVENTA,Maldonado Lugar,256,,Lomas de capula,048,Puerto Peñasco,26,Sonora,83321,CASA,CASA,,,,,,,,,,,,,
ABEI730715HAGRPN07,SIN_CAMBIOS,"[{'clave': 'DEC', 'valor': 'DECLARANTE'}]",100.0,CONTADO,110634903.0,2002-03-17T20:09:44.390Z,9f193d89-b8d3-4f35-b1d3-75e304fbb074,ESCRITURA PÚBLICA,CASA,CASA,6072.0,m2,5866.0,m2,CPV,COMPRAVENTA,Escamilla Municipio,1644,,La loma,024,Rodeo,10,Durango,34251,BODG,BODEGA,,,,,,,,,,,,,
ABFJ871119MPURGN02,SIN_CAMBIOS,"[{'clave': 'DEC', 'valor': 'DECLARANTE'}]",100.0,CRÉDITO,2896678.0,1985-07-24T10:32:09.440Z,6f541fa3-fa88-4486-babb-f2d8ca6b2744,ESCRITURA PÚBLICA,CASA,CASA,151.0,m2,73.0,m2,CPV,COMPRAVENTA,Eva Salida,1140,,Morelos,001,Aconchi,26,Sonora,83829,DPTO,DEPARTAMENTO,,,,,,,,,,,,,
ABJG820014MAGYRR08,SIN_CAMBIOS,"[{'clave': 'DEC', 'valor': 'DECLARANTE'}]",100.0,CONTADO,3917190.0,1977-10-14T09:41:55.963Z,1a3e6286-732f-4a14-b520-de969798092f,ESCRITURA PÚBLICA,CASA,CASA,118.0,m2,71.0,m2,CPV,COMPRAVENTA,Saúl Cuesta,970,,Benito Juárez,020,Cuitzeo,16,Michoacán de Ocampo,58418,DPTO,DEPARTAMENTO,,,,,,,,,,,,,
ABNS890812MVZRZN06,SIN_CAMBIOS,"[{'clave': 'DEC', 'valor': 'DECLARANTE'}]",100.0,CONTADO,51740146.0,1979-12-11T20:18:00.191Z,988d9f85-ee80-40a5-887c-52b5757597d1,ESCRITURA PÚBLICA,CASA,CASA,468.0,m2,367.0,m2,CPV,COMPRAVENTA,Abigail Jardines,946,,Hidalgo,030,Ecuandureo,16,Michoacán de Ocampo,58604,PALC,PALCO,,,,,,,,,,,,,
ABNS890812MVZRZN06,SIN_CAMBIOS,"[{'clave': 'DEC', 'valor': 'DECLARANTE'}]",100.0,CONTADO,16389082.0,1976-08-17T17:56:38.687Z,318ee3e3-1658-41d3-8ebb-98920284e66d,ESCRITURA PÚBLICA,CASA,CASA,416.0,m2,320.0,m2,CPV,COMPRAVENTA,Adela Carretera,1350,,Doctores,017,Irapuato,11,Guanajuato,36204,DPTO,DEPARTAMENTO,,,,,,,,,,,,,
ABNS890812MVZRZN06,SIN_CAMBIOS,"[{'clave': 'DEC', 'valor': 'DECLARANTE'}]",100.0,CONTADO,21130121.0,2003-08-18T00:03:49.854Z,2a97f20c-96d9-4693-976a-04a22d826fc4,ESCRITURA PÚBLICA,CASA,CASA,488.0,m2,425.0,m2,CPV,COMPRAVENTA,Pizarro Conjunto,1263,,Centro,004,Concordia,25,Sinaloa,80749,LOCC,LOCAL COMERCIAL,,,,,,,,,,,,,
ABPJ861006MSNYZN08,SIN_CAMBIOS,"[{'clave': 'DEC', 'valor': 'DECLARANTE'}]",100.0,CRÉDITO,138973994.0,1983-07-16T10:36:13.008Z,4e4651c0-8483-4aee-9d14-4a2fa6593561,ESCRITURA PÚBLICA,CASA,CASA,5622.0,m2,5223.0,m2,CPV,COMPRAVENTA,Alarcón Sector,1855,,Independencia,016,San Ignacio,25,Sinaloa,80422,EDIF,EDIFICIO,,,,,,,,,,,,,
ABPJ861006MSNYZN08,SIN_CAMBIOS,"[{'clave': 'DEC', 'valor': 'DECLARANTE'}]",100.0,CONTADO,70660655.0,2002-04-13T23:22:53.162Z,8014969a-bc7a-485a-bb27-ae4c86300fb3,ESCRITURA PÚBLICA,CASA,CASA,479.0,m2,227.0,m2,CPV,COMPRAVENTA,Conchita Entrada,1215,,Venustiano Carranza,052,Villa García,32,Zacatecas,98120,DPTO,DEPARTAMENTO,,,,,,,,,,,,,
ABPJ861006MSNYZN08,SIN_CAMBIOS,"[{'clave': 'DEC', 'valor': 'DECLARANTE'}]",100.0,CRÉDITO,79910622.0,1982-10-14T16:11:25.348Z,5813b584-a444-4827-a908-c516e8c3e01d,ESCRITURA PÚBLICA,CASA,CASA,4782.0,m2,3482.0,m2,CPV,COMPRAVENTA,Burgos Carretera,1725,,Anahuac,008,Bacadéhuachi,26,Sonora,83607,TERR,TERRENO,,,,,,,,,,,,,
ABRH880427HDFRNR02,SIN_CAMBIOS,"[{'clave': 'DEC', 'valor': 'DECLARANTE'}]",100.0,CONTADO,1955123.0,1981-09-07T21:30:15.774Z,b6798de3-38a1-46cb-a3f2-468cb2a0c777,ESCRITURA PÚBLICA,CASA,CASA,88.0,m2,77.0,m2,CPV,COMPRAVENTA,Martínez Glorieta,1035,,Moctezuma,052,Lázaro Cárdenas,16,Michoacán de Ocampo,58598,BODG,BODEGA,,,,,,,,,,,,,
ABVD720809HPUYLN06,SIN_CAMBIOS,"[{'clave': 'DEC', 'valor': 'DECLARANTE'}]",100.0,NO APLICA,839753.0,2003-06-09T02:05:28.084Z,ed2fbc76-e210-4ff2-b281-745a2cb1b953,ESCRITURA PÚBLICA,CASA,CASA,148.0,m2,116.0,m2,PRM,PERMUTA,Matías Rua,1385,,Centro,078,San Cristóbal de las Casas,07,Chiapas,29357,CASA,CASA,,,,,,,,,,,,,
