tipoOperacion,nombre,primerApellido,segundoApellido,fechaNacimiento,extranjero,curp,habitaDomicilioDeclarante,lugarDondeReside,rfc.rfc,rfc.homoClave,parentescoRelacion.clave,parentescoRelacion.valor,actividadLaboral.clave,actividadLaboral.valor,curp_funcionario,rfc,domicilioMexico.calle,domicilioMexico.numeroExterior,domicilioMexico.numeroInterior,domicilioMexico.coloniaLocalidad,domicilioMexico.municipioAlcaldia.clave,domicilioMexico.municipioAlcaldia.valor,domicilioMexico.entidadFederativa.clave,domicilioMexico.entidadFederativa.valor,domicilioMexico.codigoPostal,domicilioExtranjero.calle,domicilioExtranjero.numeroExterior,domicilioExtranjero.numeroInterior,domicilioExtranjero.ciudadLocalidad,domicilioExtranjero.estadoProvincia,domicilioExtranjero.pais,domicilioExtranjero.codigoPostal,actividadLaboralSectorPublico.nivelOrdenGobierno,actividadLaboralSectorPublico.ambitoPublico,actividadLaboralSectorPublico.nombreEntePublico,actividadLaboralSectorPublico.areaAdscripcion,actividadLaboralSectorPublico.empleoCargoComision,actividadLaboralSectorPublico.funcionPrincipal,actividadLaboralSectorPublico.salarioMensualNeto.valor,actividadLaboralSectorPublico.salarioMensualNeto.moneda,actividadLaboralSectorPublico.fechaIngreso,actividadLaboralSectorPrivadoOtro.nombreEmpresaSociedadAsociacion,actividadLaboralSectorPrivadoOtro.rfc,actividadLaboralSectorPrivadoOtro.empleoCargo,actividadLaboralSectorPrivadoOtro.fechaIngreso,actividadLaboralSectorPrivadoOtro.salarioMensualNeto.valor,actividadLaboralSectorPrivadoOtro.salarioMensualNeto.moneda,actividadLaboralSectorPrivadoOtro.proveedorContratistaGobierno,actividadLaboralSectorPrivadoOtro.sector.clave,actividadLaboralSectorPrivadoOtro.sector.valor
SIN_CAMBIOS,Emilio,Menchaca,Guerra,2012-08-07,False,MEGE20120807MPUNRL07,True,MEXICO,MEGE20120807,A28,HIJ,HIJO(A),NIN,NINGUNO,ABAF800309HPURÑT08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIN_CAMBIOS,Jerónimo,Carbajal,Xacon,2011-03-12,False,CAXJ20110312MAGRCR02,True,MEXICO,CAXJ20110312,B60,PRI,PRIMO(A),NIN,NINGUNO,ABAF800309HPURÑT08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIN_CAMBIOS,María Eugenia,Kadar rodriguez,Irizarry,2011-07-06,False,KAIM20110706HPUDZR02,True,MEXICO,KAIM20110706,A44,PRI,PRIMO(A),NIN,NINGUNO,ABAF800309HPURÑT08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIN_CAMBIOS,Elena,Arias,Razo,2009-00-12,False,ARRE20090012MSNSZN04,True,MEXICO,ARRE20090012,D93,NIN,NINGUNO,NIN,NINGUNO,ABAG780123HVZYRL05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIN_CAMBIOS,Dulce María,Ornelas,Morales,2006-07-23,False,ORMD20060723HVZNRL07,True,MEXICO,ORMD20060723,C77,AHI,AHIJADO(A),NIN,NINGUNO,ABAM750311HPURCR03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIN_CAMBIOS,Rebeca,Maestas,Mota,2007-09-13,False,MAMR20070913MDFSTB05,True,MEXICO,MAMR20070913,B84,SOB,SOBRINO(A),NIN,NINGUNO,ABAM750311HPURCR03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIN_CAMBIOS,Yaretzi,Saiz,Jimínez,2009-06-19,False,SAJY20090619MDFZMR09,True,MEXICO,SAJY20090619,B51,HER,HERMANO(A),NIN,NINGUNO,ABAM881010MDFYVT07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIN_CAMBIOS,Daniela,Sáenz,Casas,2008-04-03,False,SÁCD20080403HAGNSN03,True,MEXICO,SÁCD20080403,B35,AHI,AHIJADO(A),NIN,NINGUNO,ABBA870314MSNRRN07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIN_CAMBIOS,Natalia,Toro,Batista,2005-00-17,False,TOBN20050017MPURTT03,True,MEXICO,TOBN20050017,A57,HER,HERMANO(A),NIN,NINGUNO,ABBA870314MSNRRN07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIN_CAMBIOS,Lucas,Zelaya,Zamudio,2011-01-12,False,ZEZL20110112HSNLMC01,True,MEXICO,ZEZL20110112,E15,PRI,PRIMO(A),NIN,NINGUNO,ABBE760411HAGRRR08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIN_CAMBIOS,Jacobo,Nájera,Collado,2006-01-25,False,NÁCJ20060125MSNJLC05,True,MEXICO,NÁCJ20060125,C94,SOB,SOBRINO(A),NIN,NINGUNO,ABBY881018HDFRRR05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIN_CAMBIOS,Enrique,Atencio,Varela,2010-04-24,False,ATVE20100424HVZNRR07,True,MEXICO,ATVE20100424,B36,NIN,NINGUNO,NIN,NINGUNO,ABBY881018HDFRRR05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIN_CAMBIOS,Leonor,Hernandes,Suárez,2005-10-27,False,HESL20051027MPURRN08,True,MEXICO,HESL20051027,D75,HIJ,HIJO(A),NIN,NINGUNO,ABCI870911MPURRN09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIN_CAMBIOS,Araceli,Collado,Kadar rodriguez,2012-02-12,False,COKA20120212HDFLDC09,True,MEXICO,COKA20120212,E51,AHI,AHIJADO(A),NIN,NINGUNO,ABCI870911MPURRN09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIN_CAMBIOS,Jesús,Cordero,Valle,2007-07-03,False,COVJ20070703HAGRLS06,True,MEXICO,COVJ20070703,E13,SOB,SOBRINO(A),NIN,NINGUNO,ABCR720008MSNRSB08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
