tipoOperacion,carreraAreaConocimiento,status,documentoObtenido,fechaObtencion,nivel.clave,nivel.valor,institucionEducativa.nombre,institucionEducativa.ubicacion,curp,estatus
SIN_CAMBIOS,Licenciatura en Comercio Internacional,FINALIZADO,TITULO,2008-08-15T07:17:26.107Z,LIC,LICENCIATURA,Universidad Tecnológica de México,MX,ABAF800309HPURÑT08,
SIN_CAMBIOS,Licenciatura en Economía,FINALIZADO,TITULO,2001-01-27T03:53:39.906Z,LIC,LICENCIATURA,Universidad Panamericana,MX,ABAG780123HVZYRL05,
SIN_CAMBIOS,Arte y Diseño,FINALIZADO,CONSTANCIA,2007-10-29T04:35:15.410Z,ESP,ESPECIALIDAD,Massachusetts Institute of Technology,EX,ABAG780123HVZYRL05,
SIN_CAMBIOS,"Ingeniería, Arquitectura, Urbanismo y afines",FINALIZADO,CONSTANCIA,2013-09-08T12:10:24.126Z,DOC,DOCTORADO,Universidad Panamericana,MX,ABAG780123HVZYRL05,
SIN_CAMBIOS,Licenciatura en Administración de las Tecnologías de la Información,FINALIZADO,TITULO,2011-05-14T09:19:56.468Z,LIC,LICENCIATURA,Universidad Justo Sierra,MX,ABAM750311HPURCR03,
SIN_CAMBIOS,Ingeniería Química,FINALIZADO,TITULO,2008-04-24T08:13:17.038Z,LIC,LICENCIATURA,Instituto Politécnico Nacional,MX,ABAM881010MDFYVT07,
SIN_CAMBIOS,Ingeniería Química,FINALIZADO,TITULO,2007-12-29T11:00:37.909Z,LIC,LICENCIATURA,Tecnológico de Estudios Superiores de Coacalco,MX,ABBA870314MSNRRN07,
SIN_CAMBIOS,Ciencias de la Salud,FINALIZADO,CONSTANCIA,2012-08-02T07:30:33.633Z,MAE,MAESTRÍA,Instituto Politécnico Nacional,MX,ABBA870314MSNRRN07,
SIN_CAMBIOS,Ingeniería Petrolera,FINALIZADO,TITULO,2007-07-09T00:15:25.140Z,LIC,LICENCIATURA,Tecnológico de Estudios Superiores de Coacalco,MX,ABBE760411HAGRRR08,
SIN_CAMBIOS,Licenciatura en Ciencias de Comunicación,FINALIZADO,TITULO,2012-11-15T02:06:42.930Z,LIC,LICENCIATURA,Universidad ICEL,MX,ABBY881018HDFRRR05,
SIN_CAMBIOS,Licenciatura en Relaciones Internacionales,FINALIZADO,TITULO,2002-05-13T06:18:16.147Z,LIC,LICENCIATURA,"University of California, Berkeley",EX,ABCE790011HVZRLL09,
SIN_CAMBIOS,Ciencias exactas e ingeniería,FINALIZADO,CONSTANCIA,2007-07-02T04:22:53.366Z,MAE,MAESTRÍA,Universidad Nacional Autónoma de México,MX,ABCE790011HVZRLL09,
SIN_CAMBIOS,Licenciatura en Ciencias de Comunicación,FINALIZADO,TITULO,2013-01-05T06:16:21.367Z,LIC,LICENCIATURA,Universidad Tecnológica de México,MX,ABCI870911MPURRN09,
SIN_CAMBIOS,Ingeniería Química,FINALIZADO,TITULO,2007-08-27T04:59:37.963Z,LIC,LICENCIATURA,Universidad de Guadalajara,MX,ABCR720008MSNRSB08,
SIN_CAMBIOS,Licenciatura en Ciencias Políticas,FINALIZADO,TITULO,2001-02-26T08:44:43.121Z,LIC,LICENCIATURA,Universidad Anahuac,EX,ABEI730715HAGRPN07,
SIN_CAMBIOS,Ciencias de la Educación,FINALIZADO,CERTIFICADO,2010-11-29T04:20:22.089Z,ESP,ESPECIALIDAD,Instituto Tecnológico y de Estudios Superiores de Monterrey,MX,ABEI730715HAGRPN07,
SIN_CAMBIOS,Ciencias exactas e ingeniería,FINALIZADO,CONSTANCIA,2012-04-26T04:10:32.222Z,MAE,MAESTRÍA,Instituto Tecnológico Autónomo de México,MX,ABEI730715HAGRPN07,
SIN_CAMBIOS,Licenciatura en Física,FINALIZADO,TITULO,2008-10-22T13:43:03.811Z,LIC,LICENCIATURA,Universidad Autónoma Metropolitana,MX,ABFJ871119MPURGN02,
SIN_CAMBIOS,Ciencias exactas e ingeniería,FINALIZADO,CONSTANCIA,2013-03-04T02:43:45.847Z,MAE,MAESTRÍA,Tecnológico de Estudios Superiores de Ecatepec,MX,ABFJ871119MPURGN02,
SIN_CAMBIOS,Ingeniería en Sistemas Computacionales,FINALIZADO,TITULO,2007-01-24T07:36:12.802Z,LIC,LICENCIATURA,Benemerita Universidad Autónoma de México,MX,ABJG820014MAGYRR08,
SIN_CAMBIOS,"Economía, Administración, Contaduría y afines",FINALIZADO,CONSTANCIA,2014-11-04T11:20:15.699Z,ESP,ESPECIALIDAD,Universidad del Valle de México,MX,ABJG820014MAGYRR08,
SIN_CAMBIOS,Licenciatura en Derecho,FINALIZADO,TITULO,2001-09-30T08:17:32.663Z,LIC,LICENCIATURA,Instituto Tecnológico Autónomo de México,MX,ABNS890812MVZRZN06,
SIN_CAMBIOS,Ciencias exactas e ingeniería,FINALIZADO,CERTIFICADO,2008-09-24T02:43:42.159Z,ESP,ESPECIALIDAD,Instituto Politécnico Nacional,MX,ABNS890812MVZRZN06,
SIN_CAMBIOS,Licenciatura en Ciencias Políticas,FINALIZADO,TITULO,2000-11-03T07:16:17.468Z,LIC,LICENCIATURA,Universidad Panamericana,MX,ABPJ861006MSNYZN08,
SIN_CAMBIOS,"Economía, Administración, Contaduría y afines",FINALIZADO,CERTIFICADO,2009-04-28T16:08:55.665Z,ESP,ESPECIALIDAD,Instituto Tecnológico Autónomo de México,MX,ABPJ861006MSNYZN08,
SIN_CAMBIOS,Licenciatura en Economía,FINALIZADO,TITULO,2007-04-21T16:06:44.428Z,LIC,LICENCIATURA,Universidad del Valle de México,MX,ABRH880427HDFRNR02,
SIN_CAMBIOS,"Ingeniería, Arquitectura, Urbanismo y afines",FINALIZADO,CERTIFICADO,2012-02-25T11:59:26.498Z,ESP,ESPECIALIDAD,Universidad Autónoma Metropolitana,MX,ABRH880427HDFRNR02,
SIN_CAMBIOS,Licenciatura en Derecho,FINALIZADO,TITULO,2009-05-23T20:27:46.500Z,LIC,LICENCIATURA,Instituto Politécnico Nacional,MX,ABVD720809HPUYLN06,
