tipoOperacion,nombreEmpresaSociedadAsociacion,rfc,area,puesto,fechaIngreso,fechaEgreso,ubicacion,ambitoSector.clave,ambitoSector.valor,sector.clave,sector.valor,curp,nivelOrdenGobierno,ambitoPublico,nombreEntePublico,areaAdscripcion,empleoCargoComision,funcionPrincipal,experiencia
SIN_CAMBIOS,Grupo Financiero Scotiabank Inverlat,GRUP881113AB2,Comercial,Atención a clientes,2000-12-20T07:12:55.598Z,2006-10-30T03:42:00.869Z,MX,PRV,PRIVADO,OTRO,Servicios financieros,ABAF800309HPURÑT08,,,,,,,2139
SIN_CAMBIOS,FEMSA,FEMS781119CC3,Comercial,Agente de ventas,2007-08-05T00:36:01.639Z,2010-04-17T09:25:49.967Z,MX,PRV,PRIVADO,OTRO,Holding,ABAF800309HPURÑT08,,,,,,,986
SIN_CAMBIOS,Grupo BAL,GRUP751016CX2,Recursos Humanos,Repartidor,2011-03-02T04:19:03.989Z,2014-09-26T23:58:27.462Z,MX,PRV,PRIVADO,OTRO,Holding,ABAF800309HPURÑT08,,,,,,,1304
SIN_CAMBIOS,Grupo Televisa,GRUP881111AC1,Gerencia,Gerente Regional,2001-01-29T14:04:42.439Z,2006-11-12T13:42:57.818Z,MX,PRV,PRIVADO,OTRO,Telecomunicaciones,ABAG780123HVZYRL05,,,,,,,2112
SIN_CAMBIOS,Grupo Financiero BBVA Bancomer,GRUP861126AC1,Comercial,Gerente,2007-09-19T13:10:57.858Z,2010-11-06T05:31:45.396Z,MX,PRV,PRIVADO,OTRO,Servicios financieros,ABAG780123HVZYRL05,,,,,,,1143
SIN_CAMBIOS,Cuauhtémoc Moctezuma,CUAU711110AB2,Comercial,Asesor,2011-05-28T09:01:20.607Z,2014-10-03T16:47:33.440Z,MX,PRV,PRIVADO,OTRO,Bebidas y cervezas,ABAG780123HVZYRL05,,,,,,,1224
SIN_CAMBIOS,,,,,2002-11-15T03:46:20.490Z,2006-10-02T10:43:27.995Z,MX,PUB,Público,,,ABAM750311HPURCR03,ESTATAL,JUDICIAL,SECCION MEXICANA DE LA COMISION INTERNACIONAL DE LIMITES Y AGUAS MEXICO-ESTADOS UNIDOS DE AMERICA,Unidad de Concesiones y Servicios,Jefe de Departamento,Seguimiento,1417
SIN_CAMBIOS,Grupo Techint en México,GRUP741027CX2,Ventas,Atención a clientes,2007-06-27T00:37:50.557Z,2010-09-27T05:13:25.982Z,MX,PRV,PRIVADO,OTRO,Holding,ABAM750311HPURCR03,,,,,,,1188
SIN_CAMBIOS,Infonavit,INFO771025CX2,Operativa,Agente de ventas,2011-08-20T04:30:28.005Z,2014-08-15T20:09:20.785Z,MX,PRV,PRIVADO,OTRO,Servicios financieros,ABAM750311HPURCR03,,,,,,,1091
SIN_CAMBIOS,Grupo México División Transportes,GRUP861121CX2,Ventas,Gerente Regional,2002-11-24T20:38:17.204Z,2006-12-01T00:54:01.161Z,MX,PRV,PRIVADO,OTRO,Logística y transporte,ABAM881010MDFYVT07,,,,,,,1467
SIN_CAMBIOS,Grupo Financiero Scotiabank Inverlat,GRUP861120CX2,Ventas,Administrador de proyectos,2007-08-04T01:49:52.851Z,2010-02-25T03:09:56.494Z,MX,PRV,PRIVADO,OTRO,Servicios financieros,ABAM881010MDFYVT07,,,,,,,936
SIN_CAMBIOS,Nestlé México,NEST881022CX2,Ventas,analista,2011-02-05T10:51:45.484Z,2014-11-17T07:51:41.411Z,MX,PRV,PRIVADO,OTRO,Alimentos,ABAM881010MDFYVT07,,,,,,,1380
