id,fechaCaptura,expediente,autoridadSancionadora,tipoSancion,causaMotivoHechos,observaciones,institucionDependencia.nombre,servidorPublicoSancionado.rfc.rfc,servidorPublicoSancionado.rfc.homoClave,servidorPublicoSancionado.curp,servidorPublicoSancionado.nombres,servidorPublicoSancionado.primerApellido,servidorPublicoSancionado.segundoApellido,servidorPublicoSancionado.genero.clave,servidorPublicoSancionado.genero.valor,servidorPublicoSancionado.puesto,tipoFalta.clave,tipoFalta.valor,tipoFalta.descripcion,resolucion.fechaResolucion,multa.moneda.clave,multa.moneda.valor,multa.monto,inhabilitacion.plazo,inhabilitacion.fechaInicial,inhabilitacion.fechaFinal,servidorPublicoSancionado.rfc,institucion_merge
a94cacc9-53ba-40d1-bc04-08b765010ac0,2010-01-01,SANC/bed70faf,Contraloría Interna,"[{'clave': 'SE', 'valor': 'SANCIÓN ECONÓMICA', 'descripcion': ''}]",DESVÍO DE RECURSOS PÚBLICOS,"Al contrario del pensamiento popular, el texto de Lorem Ipsum no es simplemente texto aleatorio. Tiene sus raices en una pieza cl´sica de la literatura del Latin, que data del año 45 antes de Cristo",Comisión Federal de Electricidad,PUDD930927,E33,PUDD930927MVZG N02,Daniela,Puga,de Anda,M,FEMENINO,Jefe de departamento,ASEX,COMETER O TOLERAR CONDUCTAS DE ACOSO SEXUAL,COMETER O TOLERAR CONDUCTAS DE ACOSO SEXUAL,2010-01-01,MXN,Peso Mexicano,13185.0,,,,,secretariadeenergia
6902edeb-1a0a-4ccf-af66-6b9308e0e173,2010-03-01,EXP/80ca6e1b,Contraloría Interna,"[{'clave': 'IRSC', 'valor': 'INDEMNIZACIÓN RESARCITORIA', 'descripcion': ''}]",ABUSO DE FUNCIONES,Lorem Ipsum es simplemente el texto de relleno de las imprentas y archivos de texto,Comisión Federal de Electricidad,VICJ950414,E62,VICJ950414MVZLRS02,Jose Daniel,Villarreal,Carrion,M,FEMENINO,Jefe de departamento,AC,ACTO DE CORRUPCIÓN,RECIBIR SOBORNO POR UN TRÁMITE,2010-01-01,MXN,Peso Mexicano,9074.0,,,,,serviciodeinformacionagroalimentariaypesquera
e5f8626a-fa7f-41aa-bbe7-4685473ca62f,2010-04-01,SANC/23af791f,Contraloría Interna,"[{'clave': 'I', 'valor': 'INHABILITADO', 'descripcion': ''}]",TRÁFICO DE INFLUENCIAS,"Al contrario del pensamiento popular, el texto de Lorem Ipsum no es simplemente texto aleatorio. Tiene sus raices en una pieza cl´sica de la literatura del Latin, que data del año 45 antes de Cristo",Comisión Federal de Electricidad,GAER730906,B58,GAER730906MVZSHC05,Ricardo,Gastélum,Echevarría,M,FEMENINO,Jefe de departamento,ENCB,ENCUBRIMIENTO,ENCUBRIMIENTO,2010-01-01,,,,6 años,2010-01-01,2016-00-01,,serviciosdealmacenamientodelnortesa
24700b4b-9fa1-4d46-8a84-93a53a66fe82,2010-04-31,GCPD/b0b7b091,Contraloría Interna,"[{'clave': 'M', 'valor': 'MULTADO', 'descripcion': ''}]","COHECHO, ACEPTO BENEFICIO NO COMPRENDIDO EN SU REMUNERACIÓN COMO PERSONA SERVIDORA PÚBLICA","Al contrario del pensamiento popular, el texto de Lorem Ipsum no es simplemente texto aleatorio. Tiene sus raices en una pieza cl´sica de la literatura del Latin, que data del año 45 antes de Cristo",Comisión Federal de Electricidad,GAER730906,B58,GAER730906MVZSHC05,Ricardo,Gastélum,Echevarría,M,FEMENINO,Jefe de departamento,OTRO,OTRO,OTRO,2010-01-01,MXN,Peso Mexicano,21956.0,,,,,institutonacionaldebellasartesyliteratura
a89fa644-deea-49a0-883c-314cd166ceff,2010-01-01,GCPD/01a89518,Tribunal,"[{'clave': 'O', 'valor': 'OTRO', 'descripcion': 'LEVANTAMIENTO DE ACTA ADMINISTRATIVA'}]",CONTRATACIÓN INDEBIDA,"Al contrario del pensamiento popular, el texto de Lorem Ipsum no es simplemente texto aleatorio. Tiene sus raices en una pieza cl´sica de la literatura del Latin, que data del año 45 antes de Cristo",Comisión Federal de Electricidad,RAQR910021,D72,RAQR910021MAGMRM06,Ramón,Ramos,Quiroz,M,FEMENINO,Jefe de departamento,IDSP,INCUMPLIMIENTO EN DECLARACION DE SITUACION PATRIMONIAL,OCULTAMIENTODE PROPIEDADES,2010-01-01,,,,,,,,comisionnacionaldeacuaculturaypesca
4e21cbbd-9a37-4f10-9920-37f06ec803e0,2010-02-04,ARCHIVO/d9986c19,Tribunal,"[{'clave': 'I', 'valor': 'INHABILITADO', 'descripcion': ''}]",ENRIQUECIMIENTO OCULTO,"Al contrario del pensamiento popular, el texto de Lorem Ipsum no es simplemente texto aleatorio. Tiene sus raices en una pieza cl´sica de la literatura del Latin, que data del año 45 antes de Cristo",Comisión Federal de Electricidad,HOAC711119,A43,HOAC711119HVZLDS08,César,Holguín,Apodaca,H,MASCULINO,Jefe de departamento,ASEX,COMETER O TOLERAR CONDUCTAS DE ACOSO SEXUAL,COMETER O TOLERAR CONDUCTAS DE ACOSO SEXUAL,2010-01-01,,,,2 años,2010-01-01,2012-00-01,,cfegeneracionii
b970d25c-e3b5-4dec-b516-e295a8dea00b,2010-03-01,EXPEDIENTE/361c74c0,Contraloría Interna,"[{'clave': 'O', 'valor': 'OTRO', 'descripcion': 'LEVANTAMIENTO DE ACTA ADMINISTRATIVA'}]",ABUSO DE FUNCIONES,Lorem Ipsum es simplemente el texto de relleno de las imprentas y archivos de texto,Comisión Federal de Electricidad,CHCS890104,E50,CHCS890104HVZHLF07,Sofia,Chacón,Cuellar,H,MASCULINO,Jefe de departamento,ENCB,ENCUBRIMIENTO,ENCUBRIMIENTO,2010-01-01,,,,,,,,institutonacionalparaelfederalismoyeldesarrollomunicipal
46abae13-ab16-4f5c-804b-c0e9ff380f1e,2010-04-01,ARCHIVO/2d4bb61d,Organo de Control Interno,"[{'clave': 'S', 'valor': 'SUSPENSION DE EMPLEO, CARGO O COMISION', 'descripcion': ''}]",TRÁFICO DE INFLUENCIAS,Lorem Ipsum es simplemente el texto de relleno de las imprentas y archivos de texto,Comisión Federal de Electricidad,ZARM781120,C95,ZARM781120HVZMDR01,María Soledad,Zamarreno,Rodríguez,H,MASCULINO,Jefe de departamento,ENCB,ENCUBRIMIENTO,ENCUBRIMIENTO,2010-01-01,,,,6 años,2010-01-01,2016-00-01,,comisionnacionaldeproteccionsocialensalud
9d8df02b-b193-4ad4-b7e2-9adff015b825,2010-04-01,EXP/9ac2ec03,Tribunal,"[{'clave': 'M', 'valor': 'MULTADO', 'descripcion': ''}]","COHECHO, ACEPTO BENEFICIO NO COMPRENDIDO EN SU REMUNERACIÓN COMO PERSONA SERVIDORA PÚBLICA",Sanción impuesta conforme a la ley,Comisión Federal de Electricidad,ALKA781009,B51,ALKA781009HSNNRT03,Anita,Alanis,Karem,H,MASCULINO,Jefe de departamento,AUT,ABUSO DE AUTORIDAD,TRATO HUMILLANTE A UN SUBORDINADO,2010-01-01,MXN,Peso Mexicano,8072.0,,,,,secretariadoejecutivodelsistemanacionalanticorrupcion
bef37676-daf1-41d2-9df7-049586215ef4,2010-03-01,ARCHIVO/f006c062,Tribunal,"[{'clave': 'M', 'valor': 'MULTADO', 'descripcion': ''}]",TRÁFICO DE INFLUENCIAS,"Al contrario del pensamiento popular, el texto de Lorem Ipsum no es simplemente texto aleatorio. Tiene sus raices en una pieza cl´sica de la literatura del Latin, que data del año 45 antes de Cristo",Comisión Federal de Electricidad,FLQE980507,B47,FLQE980507HPULNS05,Elías,Flórez,Quintana,H,MASCULINO,Jefe de departamento,OJUST,OBSTRUCCIÓN DE LA JUSTICIA,OBSTRUCCIÓN DE LA JUSTICIA,2010-01-01,MXN,Peso Mexicano,21690.0,,,,,serviciosaeroportuariosdelaciudaddemexicosadecv
