tipoOperacion,titular,numeroCuentaContrato,porcentajeIncrementoDecremento,tipoInversion.clave,tipoInversion.valor,subTipoInversion.clave,subTipoInversion.valor,localizacionInversion.pais,localizacionInversion.institucionRazonSocial,localizacionInversion.rfc,saldoFechaConclusion.valor,saldoFechaConclusion.moneda,curp_funcionario,subTipoInversion.tipoInversion
MODIFICAR,"[{'clave': 'DEC', 'valor': 'DECLARANTE'}]",87349554,-22%,BANC,BANCARIA,CNOM,CUENTA DE NÓMINA,MX,"Valdez, Méndez and Sanabria",68b4640a-5458-47aa-9b8c-e4ea744af3d6,10954.0,MXN,ABAF800309HPURÑT08,
MODIFICAR,"[{'clave': 'DEC', 'valor': 'DECLARANTE'}]",21866734,-10%,BANC,BANCARIA,CNOM,CUENTA DE NÓMINA,MX,"Padrón, Quintero and Fernández",f444de0b-3b7d-45b4-a6f0-9edcb782f89b,26637502.0,MXN,ABAG780123HVZYRL05,
MODIFICAR,"[{'clave': 'DEC', 'valor': 'DECLARANTE'}]",32190625,5%,BANC,BANCARIA,CTES,CERTIFICADOS DE LA TESORERÍA,MX,Barajas e Hijos,1de64040-77c8-4e66-93df-495666c4e15d,26958683.0,MXN,ABAG780123HVZYRL05,AFOT
MODIFICAR,"[{'clave': 'DEC', 'valor': 'DECLARANTE'}]",29245153,-12%,FINV,FONDOS DE INVERSIÓN,CAHO,CUENTA DE AHORRO,MX,Melgar - Zambrana,92c6b093-b455-4c04-8282-c8867e6cb929,5719274.0,MXN,ABAG780123HVZYRL05,BANC
MODIFICAR,"[{'clave': 'DEC', 'valor': 'DECLARANTE'}]",22013834,-8%,BANC,BANCARIA,CNOM,CUENTA DE NÓMINA,MX,"Pulido, Gallardo and Alaniz",2c22f844-6861-48f9-91b9-189099419bd7,10186.0,MXN,ABAM750311HPURCR03,
MODIFICAR,"[{'clave': 'DEC', 'valor': 'DECLARANTE'}]",12396891,8%,BANC,BANCARIA,CNOM,CUENTA DE NÓMINA,MX,Alvarez - Rico,5c97c5e5-cab8-4403-963d-a24c518d1c05,332749.0,MXN,ABAM881010MDFYVT07,
MODIFICAR,"[{'clave': 'DEC', 'valor': 'DECLARANTE'}]",25415029,-17%,FINV,FONDOS DE INVERSIÓN,CTES,CERTIFICADOS DE LA TESORERÍA,MX,"Márquez, Jaimes and León",0f684a03-3803-46f7-bedc-9832a04c8630,494787.0,MXN,ABAM881010MDFYVT07,AFOT
MODIFICAR,"[{'clave': 'DEC', 'valor': 'DECLARANTE'}]",75352090,7%,BANC,BANCARIA,CNOM,CUENTA DE NÓMINA,MX,Soria - Ferrer,4d2b1450-6f2b-43ea-b7f2-f7925ca9f0d0,485083.0,MXN,ABBA870314MSNRRN07,
MODIFICAR,"[{'clave': 'DEC', 'valor': 'DECLARANTE'}]",89335671,-19%,VBUR,VALORES BURSÁTILES,CNOM,CUENTA DE NÓMINA,MX,Kanimal Hermanos,7e5f13e9-6932-48aa-a375-99ff3c0fde33,337275.0,MXN,ABBA870314MSNRRN07,BANC
MODIFICAR,"[{'clave': 'DEC', 'valor': 'DECLARANTE'}]",36160865,17%,BANC,BANCARIA,CNOM,CUENTA DE NÓMINA,MX,Villagómez e Hijos,2f077994-9fa1-4966-8a7e-eb323b47c376,380068.0,MXN,ABBE760411HAGRRR08,
MODIFICAR,"[{'clave': 'DEC', 'valor': 'DECLARANTE'}]",54146475,-23%,VBUR,VALORES BURSÁTILES,ONZT,ONZAS TROY,MX,"Cervantes, Ordóñez and Rosas",1f741349-85db-4c72-b464-ab14213d653d,436985.0,MXN,ABBE760411HAGRRR08,POMM
MODIFICAR,"[{'clave': 'DEC', 'valor': 'DECLARANTE'}]",53357839,8%,BANC,BANCARIA,CNOM,CUENTA DE NÓMINA,MX,Niño S.L.,02b94e49-af0f-4240-a4c8-64e3a81f6a74,12945.0,MXN,ABBY881018HDFRRR05,
MODIFICAR,"[{'clave': 'DEC', 'valor': 'DECLARANTE'}]",95349843,-1%,BANC,BANCARIA,CNOM,CUENTA DE NÓMINA,MX,Monroy - Carreón,d985e691-aa80-44eb-aeb8-45dd3f51f9cf,30248593.0,MXN,ABCE790011HVZRLL09,
MODIFICAR,"[{'clave': 'DEC', 'valor': 'DECLARANTE'}]",06341122,1%,VBUR,VALORES BURSÁTILES,DPLA,DEPÓSITO A PLAZOS,MX,Jaimes - Casanova,d53f0f74-5c78-4026-84a8-610e2574b390,2015635.0,MXN,ABCE790011HVZRLL09,BANC
MODIFICAR,"[{'clave': 'DEC', 'valor': 'DECLARANTE'}]",22732187,-13%,ORPM,ORGANIZACIONES PRIVADAS Y/O MERCANTILES,CMAS,CUENTA MAESTRA,MX,Koenig - Zamarripa,8c8dea88-e4c3-4006-b188-0945b970e1f0,41967914.0,MXN,ABCE790011HVZRLL09,BANC
MODIFICAR,"[{'clave': 'DEC', 'valor': 'DECLARANTE'}]",60258874,23%,BANC,BANCARIA,CNOM,CUENTA DE NÓMINA,MX,"Jáquez, Pantoja and Terrazas",11dbe3b3-82b1-4bab-b7c9-22143e008938,13335.0,MXN,ABCI870911MPURRN09,
MODIFICAR,"[{'clave': 'DEC', 'valor': 'DECLARANTE'}]",30730036,-15%,BANC,BANCARIA,CNOM,CUENTA DE NÓMINA,MX,Maestas Hermanos,d62a8511-a451-4c34-9488-c74e7214a9aa,565028.0,MXN,ABCR720008MSNRSB08,
MODIFICAR,"[{'clave': 'DEC', 'valor': 'DECLARANTE'}]",53454387,18%,POMM,POSESIÓN DE MONEDAS Y/O METALES,CENT,CENTENARIOS,MX,"Guerra, Raya and Urrutia",639e6e6e-a023-4038-a910-3c44ce791727,403690.0,MXN,ABCR720008MSNRSB08,POMM
MODIFICAR,"[{'clave': 'DEC', 'valor': 'DECLARANTE'}]",29297280,-6%,BANC,BANCARIA,CNOM,CUENTA DE NÓMINA,MX,Nevárez - Guajardo,47cf5436-ab38-4db0-8824-cfad0ec095d0,9152250.0,MXN,ABEI730715HAGRPN07,
MODIFICAR,"[{'clave': 'DEC', 'valor': 'DECLARANTE'}]",28111873,5%,BANC,BANCARIA,CTES,CERTIFICADOS DE LA TESORERÍA,MX,Jasso S.A.,155cef32-4ef3-4750-be98-e345670e1ac9,42654760.0,MXN,ABEI730715HAGRPN07,AFOT
MODIFICAR,"[{'clave': 'DEC', 'valor': 'DECLARANTE'}]",21832173,-12%,FINV,FONDOS DE INVERSIÓN,SSIN,SEGURO DE SEPARACIÓN INDIVIDUALIZADO,MX,"Esquivel, Medrano and Uribe",425a88c6-9fef-419c-962c-68487a365568,18276498.0,MXN,ABEI730715HAGRPN07,SEGR
MODIFICAR,"[{'clave': 'DEC', 'valor': 'DECLARANTE'}]",64410825,-10%,BANC,BANCARIA,CNOM,CUENTA DE NÓMINA,MX,Vallejo - Rodarte,3bc6c956-17fe-4ece-8dc9-2ddd156d30d0,775307.0,MXN,ABFJ871119MPURGN02,
MODIFICAR,"[{'clave': 'DEC', 'valor': 'DECLARANTE'}]",97939328,14%,SEGR,SEGUROS,IFEX,INVERSIONES FINANCIERAS EN EL EXTRANJERO,MX,"Velásquez, Bustos and Villareal",63d8b37d-8ab3-4a2d-a921-fa4d14c74440,729354.0,MXN,ABFJ871119MPURGN02,FINV
MODIFICAR,"[{'clave': 'DEC', 'valor': 'DECLARANTE'}]",89781286,-21%,BANC,BANCARIA,CNOM,CUENTA DE NÓMINA,MX,"Lebrón, Riojas and Arteaga",96e48149-8a39-4c35-9a5a-e26986dd34bb,339680.0,MXN,ABJG820014MAGYRR08,
MODIFICAR,"[{'clave': 'DEC', 'valor': 'DECLARANTE'}]",99848257,-19%,POMM,POSESIÓN DE MONEDAS Y/O METALES,SEGV,SEGURO DE VIDA,MX,Amaya Hermanos,f8366a4e-0020-4c20-b7d9-222d12957bb6,265223.0,MXN,ABJG820014MAGYRR08,SEGR
MODIFICAR,"[{'clave': 'DEC', 'valor': 'DECLARANTE'}]",92749087,-8%,BANC,BANCARIA,CNOM,CUENTA DE NÓMINA,MX,Kanea e Hijos,a91743ea-9278-4fc3-9d99-c32c24c847c6,23765970.0,MXN,ABNS890812MVZRZN06,
MODIFICAR,"[{'clave': 'DEC', 'valor': 'DECLARANTE'}]",17301611,-1%,BANC,BANCARIA,CRIP,CRIPTOMONEDAS,MX,Fierro Hermanos,f0e775a1-3932-432f-96c0-8d6de8d2fd45,28479808.0,MXN,ABNS890812MVZRZN06,POMM
MODIFICAR,"[{'clave': 'DEC', 'valor': 'DECLARANTE'}]",93858466,2%,POMM,POSESIÓN DE MONEDAS Y/O METALES,PCOM,PAPEL COMERCIAL,MX,Vélez - Korta hernandez,65b7540b-e20b-4c89-820f-040ce0a2490f,25388124.0,MXN,ABNS890812MVZRZN06,VBUR
MODIFICAR,"[{'clave': 'DEC', 'valor': 'DECLARANTE'}]",03426150,-6%,BANC,BANCARIA,CNOM,CUENTA DE NÓMINA,MX,"Villalpando, Espino and Angulo",0dcac15c-1a1f-4d35-b024-fadc2daa384e,14130003.0,MXN,ABPJ861006MSNYZN08,
MODIFICAR,"[{'clave': 'DEC', 'valor': 'DECLARANTE'}]",48544232,-11%,POMM,POSESIÓN DE MONEDAS Y/O METALES,ONZT,ONZAS TROY,MX,Castañeda - Ávalos,4f9cb647-1426-4c08-9b68-e9ee464538ce,31491960.0,MXN,ABPJ861006MSNYZN08,POMM
MODIFICAR,"[{'clave': 'DEC', 'valor': 'DECLARANTE'}]",45332543,-1%,SEGR,SEGUROS,CMAS,CUENTA MAESTRA,MX,Monroy - Linares,5fbbc570-5459-4263-89f2-516a51d58edf,56069350.0,MXN,ABPJ861006MSNYZN08,BANC
MODIFICAR,"[{'clave': 'DEC', 'valor': 'DECLARANTE'}]",01318141,23%,BANC,BANCARIA,CNOM,CUENTA DE NÓMINA,MX,Parra - Tirado,012e0860-a693-431f-9232-f9923f21cbd7,850236.0,MXN,ABRH880427HDFRNR02,
MODIFICAR,"[{'clave': 'DEC', 'valor': 'DECLARANTE'}]",67707747,-18%,FINV,FONDOS DE INVERSIÓN,IFEX,INVERSIONES FINANCIERAS EN EL EXTRANJERO,MX,Espinoza S.L.,142a12bd-aa28-4e6e-9cc9-2a3f3518008e,679570.0,MXN,ABRH880427HDFRNR02,FINV
MODIFICAR,"[{'clave': 'DEC', 'valor': 'DECLARANTE'}]",52264116,7%,BANC,BANCARIA,CNOM,CUENTA DE NÓMINA,MX,"Montenegro, Corona and Olivares",85e9fa0e-8f40-4c57-8e9b-7ca9958c4737,203241.0,MXN,ABVD720809HPUYLN06,
MODIFICAR,"[{'clave': 'DEC', 'valor': 'DECLARANTE'}]",16496083,14%,ORPM,ORGANIZACIONES PRIVADAS Y/O MERCANTILES,ADER,ACCIONES Y DERIVADOS,MX,Morales S.L.,70e884e5-7700-40d3-bd71-ef84db1b9e3a,773516.0,MXN,ABVD720809HPUYLN06,VBUR
MODIFICAR,"[{'clave': 'DEC', 'valor': 'DECLARANTE'}]",70591108,6%,BANC,BANCARIA,CNOM,CUENTA DE NÓMINA,MX,Barela - Noriega,b51ba47e-b680-4e45-9877-09f6f02bfe82,14905.0,MXN,ACAA810708HVZÑYX01,
MODIFICAR,"[{'clave': 'DEC', 'valor': 'DECLARANTE'}]",94745586,-7%,BANC,BANCARIA,CNOM,CUENTA DE NÓMINA,MX,Jimínez - Villegas,0697dbed-f242-4c00-836b-3c5c1c10b912,421192.0,MXN,ACAL860910HPUSRL09,
MODIFICAR,"[{'clave': 'DEC', 'valor': 'DECLARANTE'}]",83598444,-19%,AFOT,AFORES Y OTROS,ADER,ACCIONES Y DERIVADOS,MX,Lucio Hermanos,af1b5f40-68d6-4e9b-b619-8d73aed3c4a6,437592.0,MXN,ACAL860910HPUSRL09,VBUR
MODIFICAR,"[{'clave': 'DEC', 'valor': 'DECLARANTE'}]",50588865,-21%,BANC,BANCARIA,CNOM,CUENTA DE NÓMINA,MX,Gálvez - Villareal,3a4b0e90-6eef-42c6-918e-4f22c7a1bd88,9080.0,MXN,ACBC840518MVZSRM06,
MODIFICAR,"[{'clave': 'DEC', 'valor': 'DECLARANTE'}]",45911134,7%,BANC,BANCARIA,CNOM,CUENTA DE NÓMINA,MX,Torres - Arce,57e9ab7c-28a1-4e0c-ade8-a1464651ab6b,309853.0,MXN,ACBF881003HDFVRR01,
MODIFICAR,"[{'clave': 'DEC', 'valor': 'DECLARANTE'}]",81576346,16%,POMM,POSESIÓN DE MONEDAS Y/O METALES,AFOR,AFORES,MX,"Atencio, Cortez and Santillán",bb5236e1-c1fc-4170-a3fb-2edc2196fa48,353361.0,MXN,ACBF881003HDFVRR01,AFOT
MODIFICAR,"[{'clave': 'DEC', 'valor': 'DECLARANTE'}]",79819278,-15%,BANC,BANCARIA,CNOM,CUENTA DE NÓMINA,MX,Alcaraz e Hijos,4082f67d-d3bb-404a-a4bc-a9e7ea9e94ae,11426.0,MXN,ACBJ720419HSNVÑL09,
MODIFICAR,"[{'clave': 'DEC', 'valor': 'DECLARANTE'}]",61205124,-16%,BANC,BANCARIA,CNOM,CUENTA DE NÓMINA,MX,Quiñónez - Frías,3f3dad0e-2874-4a6a-aec9-9ff89780e9d1,9243.0,MXN,ACBL890308MVZÑÑS04,
MODIFICAR,"[{'clave': 'DEC', 'valor': 'DECLARANTE'}]",08928065,-3%,BANC,BANCARIA,CNOM,CUENTA DE NÓMINA,MX,Soliz Hermanos,0b36fe95-07bc-4147-9eb8-624a06aaa7b9,35762039.0,MXN,ACBM850110MDFSRR05,
MODIFICAR,"[{'clave': 'DEC', 'valor': 'DECLARANTE'}]",47241459,8%,SEGR,SEGUROS,SEGV,SEGURO DE VIDA,MX,"Centeno, Kindelan and Casárez",1e3b576f-a7f4-4e04-9e78-06b91c4e7447,35906484.0,MXN,ACBM850110MDFSRR05,SEGR
