"curp_funcionario","r_70-2010_LUJO_TOTAL","r_70-2010_NO LUJO_TOTAL","r_2010-2015_LUJO_TOTAL","r_2010-2015_NO LUJO_TOTAL","r_2015-2020_LUJO_TOTAL","r_2015-2020_NO LUJO_TOTAL","r_70-2010_LUJO_VALOR","r_70-2010_NO LUJO_VALOR","r_2010-2015_LUJO_VALOR","r_2010-2015_NO LUJO_VALOR","r_2015-2020_LUJO_VALOR","r_2015-2020_NO LUJO_VALOR"
"ABAF800309HPURÑT08",2,4,NA,NA,NA,NA,292207,403126,NA,NA,NA,NA
"ABAG780123HVZYRL05",NA,NA,2,3,NA,NA,NA,NA,2718589,1640686,NA,NA
"ABAM750311HPURCR03",NA,7,NA,NA,NA,NA,NA,1646379,NA,NA,NA,NA
"ABAM881010MDFYVT07",1,2,NA,1,NA,NA,502218,952309,NA,301678,NA,NA
"ABBA870314MSNRRN07",NA,5,NA,1,NA,NA,NA,2122019,NA,535837,NA,NA
"ABBE760411HAGRRR08",NA,3,NA,2,NA,NA,NA,1487302,NA,876125,NA,NA
"ABCE790011HVZRLL09",1,NA,3,3,1,1,468862,NA,5469665,1708145,556699,791780
"ABCI870911MPURRN09",1,5,NA,NA,NA,NA,101404,1281962,NA,NA,NA,NA
"ABCR720008MSNRSB08",NA,3,NA,1,NA,NA,NA,1258223,NA,581391,NA,NA
"ABEI730715HAGRPN07",2,NA,NA,2,NA,NA,1523278,NA,NA,1330342,NA,NA
"ABFJ871119MPURGN02",NA,5,NA,NA,NA,NA,NA,2135801,NA,NA,NA,NA
"ABJG820014MAGYRR08",NA,1,NA,3,NA,NA,NA,425500,NA,1280175,NA,NA
"ABNS890812MVZRZN06",1,NA,3,3,NA,1,652038,NA,1242149,1757892,NA,597449
"ABPJ861006MSNYZN08",NA,2,1,6,NA,NA,NA,974971,1700000,4016265,NA,NA
"ABRH880427HDFRNR02",NA,3,NA,NA,NA,NA,NA,1288982,NA,NA,NA,NA
"ABVD720809HPUYLN06",NA,2,NA,2,NA,NA,NA,887577,NA,936335,NA,NA
"ACAL860910HPUSRL09",4,3,NA,NA,NA,NA,2043919,1208428,NA,NA,NA,NA
"ACBC840518MVZSRM06",NA,3,NA,NA,NA,NA,NA,509319,NA,NA,NA,NA
"ACBF881003HDFVRR01",NA,3,NA,2,NA,NA,NA,1146304,NA,784118,NA,NA
"ACBJ720419HSNVÑL09",1,2,NA,NA,NA,NA,164907,356874,NA,NA,NA,NA
"ACBL890308MVZÑÑS04",1,5,NA,NA,NA,NA,262681,685220,NA,NA,NA,NA
"ACBM850110MDFSRR05",1,NA,3,2,1,NA,583538,NA,5524587,953235,565792,NA
"ACBS730510MVZVRL09",NA,1,3,3,NA,NA,NA,776687,5159513,1834410,NA,NA
"ACCA710224MAGÑHS05",1,NA,3,4,NA,NA,528799,NA,5501505,2183788,NA,NA
"ACCI870702HVZVRN09",NA,5,NA,NA,NA,NA,NA,1154062,NA,NA,NA,NA
"ACCM840324HVZVBR04",1,NA,2,2,NA,NA,744418,NA,2309564,1121693,NA,NA
"ACDJ891013HAGSMN05",NA,1,NA,2,NA,NA,NA,585796,NA,983461,NA,NA
"ACFA830526HDFVLN05",NA,1,4,1,1,NA,NA,559318,1992680,646105,703468,NA
"ACFX720301MVZVLM02",NA,4,NA,NA,NA,NA,NA,856600,NA,NA,NA,NA
"ACLJ860822MVZSYM06",NA,2,NA,2,NA,1,NA,731882,NA,1044110,NA,505205
"ACMD880226HSNSTN02",NA,NA,NA,2,NA,1,NA,NA,NA,985270,NA,446639
"ACMF780212HVZÑNT02",1,4,NA,NA,NA,NA,30454,739750,NA,NA,NA,NA
"ACMN740927MPUVNT03",NA,NA,5,1,NA,NA,NA,NA,6518622,640396,NA,NA
"ACOC721011MSNVVN08",NA,3,NA,1,NA,NA,NA,1286791,NA,397357,NA,NA
"ACQA860808HDFVZL07",1,4,NA,NA,NA,NA,163058,1089664,NA,NA,NA,NA
"ACRA880311MVZÑLX04",NA,1,NA,3,NA,NA,NA,546002,NA,1287028,NA,NA
"ACRG771021HAGÑYL04",NA,3,NA,1,NA,NA,NA,1084382,NA,577837,NA,NA
"ACSE870702MAGVRundefined01",NA,NA,2,4,1,NA,NA,NA,4720722,2225421,698015,NA
"ACTJ871012MAGVVS01",NA,2,NA,3,NA,NA,NA,895291,NA,1565746,NA,NA
"ACVE800525MDFÑRL04",1,4,1,NA,NA,NA,540759,2069419,551883,NA,NA,NA
"ADAJ870425HAGMML03",2,1,3,2,NA,NA,1431760,712884,5405216,1016139,NA,NA
"ADCA841108MSNMDD06",2,2,NA,NA,NA,NA,321307,236513,NA,NA,NA,NA
"ADCL860208HSNMLS05",NA,NA,6,1,1,NA,NA,NA,6201035,678344,770337,NA
"ADCV790819HAGRRN04",NA,NA,2,2,NA,1,NA,NA,2499624,1421902,NA,790294
"ADDM820216MVZRLR09",1,3,NA,NA,NA,NA,101025,535330,NA,NA,NA,NA
"ADHB830001MVZMXR01",1,3,NA,1,NA,NA,389400,1536760,NA,551817,NA,NA
"ADJI750913MSNMMN08",NA,1,1,2,NA,2,NA,528133,2e+06,1312831,NA,1450184
"ADKP840010HDFRRT05",1,2,2,NA,NA,NA,481643,1073459,868101,NA,NA,NA
"ADLE700123MVZMPS03",1,NA,2,2,1,2,485928,NA,641494,920229,465048,1069691
"ADMR860422MDFMCS01",1,2,NA,2,NA,1,346032,829376,NA,871889,NA,424646
"ADRV831118HPUMLC05",NA,NA,3,2,NA,NA,NA,NA,3049451,1007749,NA,NA
"ADTV850814HDFMRN07",NA,NA,2,2,1,NA,NA,NA,3730644,1113609,475268,NA
"ADVE850312HAGMLT05",NA,2,NA,2,NA,NA,NA,839508,NA,932575,NA,NA
"ADVL880902MDFMLZ03",NA,4,NA,NA,NA,NA,NA,495614,NA,NA,NA,NA
"ADZA790310HDFRML08",NA,4,NA,NA,NA,NA,NA,815914,NA,NA,NA,NA
"ÁGAJ800417MVZLNS05",NA,4,NA,NA,NA,NA,NA,722493,NA,NA,NA,NA
"ÁGAR730717MPULDC05",NA,1,3,1,1,NA,NA,740699,1250503,783597,488718,NA
"ÁGAR850314MDFLRL09",NA,NA,2,3,NA,NA,NA,NA,3561060,1939147,NA,NA
"AGCM730518HDFSRR02",NA,5,NA,1,NA,NA,NA,2145230,NA,436042,NA,NA
"AGER850701HAGLCB03",NA,5,NA,1,NA,NA,NA,2359333,NA,483477,NA,NA
"AGGJ870513MDFLRS09",NA,5,NA,NA,NA,NA,NA,635709,NA,NA,NA,NA
"AGGM810421HDFYZR04",NA,NA,3,3,NA,NA,NA,NA,2850607,1967540,NA,NA
"AGKB810425HPUYRR04",NA,2,NA,3,NA,NA,NA,992611,NA,1240501,NA,NA
"AGMB741111MAGSSR06",NA,3,NA,2,NA,NA,NA,1306268,NA,961254,NA,NA
"AGME760709MSNYLS02",NA,NA,2,2,NA,NA,NA,NA,2180514,923558,NA,NA
"AGMG761119MVZYNR01",1,NA,1,3,NA,1,790119,NA,0,2056423,NA,515864
"AGMM830022HDFSRR09",1,3,NA,2,NA,NA,539717,1469770,NA,1019004,NA,NA
"AGNA851008HAGSRF02",1,1,1,2,NA,NA,574699,587892,2e+06,1270210,NA,NA
"AGSC710823HVZSZR09",NA,1,3,1,1,NA,NA,702172,1053647,677214,607539,NA
"ÁGTA880916MAGLM 09",NA,5,NA,NA,NA,NA,NA,780958,NA,NA,NA,NA
"AGTF880917MVZRML06",NA,1,NA,2,NA,NA,NA,357574,NA,891603,NA,NA
"AGVÁ810524MPUYLG08",NA,4,NA,NA,NA,NA,NA,584711,NA,NA,NA,NA
"ÁGVE870926MVZLGM05",1,3,NA,NA,NA,NA,253450,309081,NA,NA,NA,NA
"AGVL810024HDFSNR01",1,3,NA,NA,NA,1,467507,1615020,NA,NA,NA,310319
"AGVM890814HDFYLR04",NA,NA,2,2,1,1,NA,NA,2156592,882993,516432,517858
"AGZR710721HVZSRF09",NA,7,NA,NA,NA,NA,NA,1420377,NA,NA,NA,NA
"AGZS750412HVZSMM02",NA,NA,5,2,1,NA,NA,NA,6383996,1287299,696781,NA
"ALAA700327HPUCVJ04",NA,1,2,2,1,2,NA,705611,2424063,1251939,797662,953560
"ALAÁ750817HVZCCG09",3,1,NA,NA,NA,NA,583331,345727,NA,NA,NA,NA
"ALAÁ830614HDFRDG04",NA,2,NA,1,NA,NA,NA,837693,NA,471249,NA,NA
"ALAC830916MVZRMN02",NA,1,NA,2,NA,NA,NA,497060,NA,895794,NA,NA
"ALAD730402MAGMBM05",1,3,NA,NA,NA,NA,122268,419562,NA,NA,NA,NA
"ALAE720320HSNMSN02",NA,3,1,2,NA,NA,NA,1839455,0,1112285,NA,NA
"ALAF850520MAGMCR09",NA,NA,3,3,NA,NA,NA,NA,2706738,1824059,NA,NA
"ALAG810107HSNNNL06",NA,2,NA,1,NA,NA,NA,829486,NA,518795,NA,NA
"ALAJ830425MVZNSR05",NA,NA,4,3,NA,NA,NA,NA,4922211,1952419,NA,NA
"ALAL850513HSNBCR06",1,3,NA,NA,NA,NA,502363,1238634,NA,NA,NA,NA
"ALAL880209MPUNMZ04",1,3,NA,NA,NA,NA,329437,695550,NA,NA,NA,NA
"ALAM801011MVZMNX05",NA,6,NA,NA,NA,NA,NA,1003749,NA,NA,NA,NA
"ALAR810402HSNVSS06",NA,1,NA,NA,NA,NA,NA,230591,NA,NA,NA,NA
"ALAR830921HAGMMC09",NA,NA,2,4,1,NA,NA,NA,2440253,2462004,649005,NA
"ALAT710306HSNVNM08",2,2,NA,NA,NA,NA,1123343,1047229,NA,NA,NA,NA
"ALAY840422MSNMNR09",NA,2,NA,NA,NA,NA,NA,989693,NA,NA,NA,NA
"ALAY890511HSNTÑM06",NA,NA,3,3,NA,NA,NA,NA,1210616,1705040,NA,NA
"ALBA870307HVZNRB05",NA,1,2,4,NA,1,NA,734264,2327547,2725246,NA,420163
"ALBG871015MSNCRR05",NA,NA,3,2,NA,NA,NA,NA,1243698,1322428,NA,NA
"ALBI891012MAGMRR03",NA,2,NA,NA,NA,NA,NA,243540,NA,NA,NA,NA
"ALBJ740123HSNNNS04",NA,4,1,1,NA,NA,NA,1556231,436768,460093,NA,NA
"ALBJ790114MDFCRN09",NA,2,NA,NA,NA,1,NA,803145,NA,NA,NA,593707
"ALCA810017HDFCRB04",1,3,NA,1,NA,NA,429298,1578498,NA,306712,NA,NA
"ALCB760818MDFVNR09",NA,NA,2,1,NA,1,NA,NA,2182519,450027,NA,429475
