curp,year,valor_vehiculos,valor_inmuebles,valor_inversiones,patrimonio_total
ABAF800309HPURÑT08,2015,123065.0,0.0,0.0,123065.0
ABAF800309HPURÑT08,2016,332653.0,0.0,23111.0,355764.0
ABAF800309HPURÑT08,2017,479765.0,0.0,18488.0,498253.0
ABAF800309HPURÑT08,2018,605547.0,0.0,15529.0,621076.0
ABAF800309HPURÑT08,2019,695333.0,0.0,18479.0,713812.0
ABAF800309HPURÑT08,2020,695333.0,0.0,14044.0,709377.0
ABAF800309HPURÑT08,2021,695333.0,0.0,0.0,695333.0
ABAG780123HVZYRL05,2015,3078621.0,170266978.0,0.0,173345599.0
ABAG780123HVZYRL05,2016,3078621.0,170266978.0,62849802.0,236195401.0
ABAG780123HVZYRL05,2017,3078621.0,170266978.0,61094995.0,234440594.0
ABAG780123HVZYRL05,2018,3797210.0,170266978.0,65832479.0,239896667.0
ABAG780123HVZYRL05,2019,3797210.0,170266978.0,65686863.0,239751051.0
ABAG780123HVZYRL05,2020,3797210.0,170266978.0,61771337.0,235835525.0
ABAG780123HVZYRL05,2021,4359275.0,170266978.0,0.0,174626253.0
ABAM750311HPURCR03,2015,317692.0,0.0,0.0,317692.0
ABAM750311HPURCR03,2016,619976.0,0.0,10281.0,630257.0
ABAM750311HPURCR03,2017,826465.0,0.0,12131.0,838596.0
ABAM750311HPURCR03,2018,985826.0,0.0,10068.0,995894.0
ABAM750311HPURCR03,2019,1244218.0,0.0,11779.0,1255997.0
ABAM750311HPURCR03,2020,1317920.0,0.0,11072.0,1328992.0
ABAM750311HPURCR03,2021,1646379.0,0.0,0.0,1646379.0
ABAM881010MDFYVT07,2015,301678.0,2605031.0,0.0,2906709.0
ABAM881010MDFYVT07,2016,301678.0,2605031.0,1006515.0,3913224.0
ABAM881010MDFYVT07,2017,301678.0,2605031.0,995129.0,3901838.0
ABAM881010MDFYVT07,2018,839008.0,2605031.0,817552.0,4261591.0
ABAM881010MDFYVT07,2019,1341226.0,2605031.0,809828.0,4756085.0
ABAM881010MDFYVT07,2020,1756205.0,2605031.0,904231.0,5265467.0
ABAM881010MDFYVT07,2021,1756205.0,2605031.0,0.0,4361236.0
ABBA870314MSNRRN07,2015,463787.0,4937025.0,0.0,5400812.0
ABBA870314MSNRRN07,2016,999624.0,4937025.0,965433.0,6902082.0
ABBA870314MSNRRN07,2017,1541229.0,4937025.0,983196.0,7461450.0
ABBA870314MSNRRN07,2018,1969993.0,4937025.0,807441.0,7714459.0
ABBA870314MSNRRN07,2019,2326464.0,4937025.0,935028.0,8198517.0
ABBA870314MSNRRN07,2020,2657856.0,4937025.0,869739.0,8464620.0
ABBA870314MSNRRN07,2021,2657856.0,4937025.0,0.0,7594881.0
ABBE760411HAGRRR08,2015,421622.0,0.0,0.0,421622.0
ABBE760411HAGRRR08,2016,956273.0,0.0,849784.0,1806057.0
ABBE760411HAGRRR08,2017,1487302.0,0.0,869919.0,2357221.0
ABBE760411HAGRRR08,2018,1487302.0,0.0,816273.0,2303575.0
ABBE760411HAGRRR08,2019,1969480.0,0.0,941448.0,2910928.0
ABBE760411HAGRRR08,2020,1969480.0,0.0,892359.0,2861839.0
ABBE760411HAGRRR08,2021,2363427.0,0.0,0.0,2363427.0
ABBY881018HDFRRR05,2015,0.0,0.0,0.0,0.0
ABBY881018HDFRRR05,2016,0.0,0.0,17860.0,17860.0
ABBY881018HDFRRR05,2017,0.0,0.0,14288.0,14288.0
ABBY881018HDFRRR05,2018,0.0,0.0,13144.0,13144.0
ABBY881018HDFRRR05,2019,0.0,0.0,14984.0,14984.0
ABBY881018HDFRRR05,2020,0.0,0.0,11987.0,11987.0
ABBY881018HDFRRR05,2021,0.0,0.0,0.0,0.0
ABCE790011HVZRLL09,2015,5208490.0,92791594.0,0.0,98000084.0
ABCE790011HVZRLL09,2016,6785998.0,92791594.0,87936948.0,187514540.0
ABCE790011HVZRLL09,2017,7254860.0,92791594.0,98558484.0,198604938.0
ABCE790011HVZRLL09,2018,7735592.0,92791594.0,87745043.0,188272229.0
ABCE790011HVZRLL09,2019,7735592.0,92791594.0,89297345.0,189824531.0
ABCE790011HVZRLL09,2020,8524525.0,92791594.0,80788796.0,182104915.0
ABCE790011HVZRLL09,2021,8995151.0,92791594.0,0.0,101786745.0
ABCI870911MPURRN09,2015,304422.0,0.0,0.0,304422.0
