tipoOperacion,marca,modelo,anio,numeroSerieRegistro,tipoVehiculo.clave,tipoVehiculo.valor,titularBien.clave,titularBien.valor,valorAdquisicion.valor,valorAdquisicion.moneda,curp_funcionario,titular,transmisor,tercero,formaPago,fechaAdquisicion,lugarRegistro.pais,lugarRegistro.entidadFederativa.clave,lugarRegistro.entidadFederativa.valor,formaAdquisicion.clave,formaAdquisicion.valor,motivoBaja.clave,motivoBaja.valor
BAJA,opel,manta,1974,75248817-8f2e-4168-bbf6-3bf349f34636,AUMOT,AUTOMÓVIL/MOTOCICLETA,DEC,DECLARANTE,123065.0,MXN,ABAF800309HPURÑT08,,,,,,,,,,,,
BAJA,volvo,264gl,1978,e24fba0f-1c38-4955-9bef-e0d4ada7a9db,AUMOT,AUTOMÓVIL/MOTOCICLETA,DEC,DECLARANTE,169142.0,MXN,ABAF800309HPURÑT08,,,,,,,,,,,,
BAJA,chevrolet,citation,1982,822fa386-d514-4f12-a211-ed47bc9b747b,AUMOT,AUTOMÓVIL/MOTOCICLETA,DEC,DECLARANTE,40446.0,MXN,ABAF800309HPURÑT08,,,,,,,,,,,,
BAJA,datsun,pl510,1971,555e9710-49d5-4e67-a665-07659f62db28,AUMOT,AUTOMÓVIL/MOTOCICLETA,DEC,DECLARANTE,147112.0,MXN,ABAF800309HPURÑT08,,,,,,,,,,,,
BAJA,ford,granada ghia,1976,cca40092-3cca-44ff-9fbe-5651277434c6,AUMOT,AUTOMÓVIL/MOTOCICLETA,DEC,DECLARANTE,125782.0,MXN,ABAF800309HPURÑT08,,,,,,,,,,,,
SIN_CAMBIOS,dodge,d200,1970,f00262d7-9bb3-4176-b68b-cef827277b3b,AUMOT,AUTOMÓVIL/MOTOCICLETA,DEC,DECLARANTE,89786.0,MXN,ABAF800309HPURÑT08,,,,,,,,,,,,
BAJA,toyota,corona,2012,25fefc33-45bb-4cfd-88e5-9226a3b8ef58,AUMOT,AUTOMÓVIL/MOTOCICLETA,DEC,DECLARANTE,453538.0,MXN,ABAG780123HVZYRL05,,,,,,,,,,,,
BAJA,Jaguar,F-Type,2012,b636d9aa-8483-4528-9af6-87d03a468804,AUMOT,AUTOMÓVIL/MOTOCICLETA,DEC,DECLARANTE,2000000.0,MXN,ABAG780123HVZYRL05,,,,,,,,,,,,
SIN_CAMBIOS,peugeot,504,2012,b8225961-e81c-4b64-a00e-38a648da9e77,AUMOT,AUTOMÓVIL/MOTOCICLETA,DEC,DECLARANTE,625083.0,MXN,ABAG780123HVZYRL05,,,,,,,,,,,,
SIN_CAMBIOS,Lamborgini,Urus,2015,a8b977e2-f061-4131-91e5-768b1cf361fc,AUMOT,AUTOMÓVIL/MOTOCICLETA,DEC,DECLARANTE,718589.0,MXN,ABAG780123HVZYRL05,,,,,,,,,,,,
AGREGAR,ford,fairmont (man),2011,3ad6a84e-ffcf-4a35-b74b-8c6ffcbd3c45,AUMOT,AUTOMÓVIL/MOTOCICLETA,DEC,DECLARANTE,562065.0,MXN,ABAG780123HVZYRL05,,,,,,,,,,,,
BAJA,vw,rabbit,1980,78c4df30-2954-444c-b49b-53647830c5e7,AUMOT,AUTOMÓVIL/MOTOCICLETA,DEC,DECLARANTE,317692.0,MXN,ABAM750311HPURCR03,,,,,,,,,,,,
BAJA,dodge,charger 2.2,1982,e4e22c71-a6c9-4cfd-892d-cd786ce8b5a6,AUMOT,AUTOMÓVIL/MOTOCICLETA,DEC,DECLARANTE,302284.0,MXN,ABAM750311HPURCR03,,,,,,,,,,,,
BAJA,mazda,glc 4,1982,e7a32a55-9d87-4e4b-982d-e10e27149386,AUMOT,AUTOMÓVIL/MOTOCICLETA,DEC,DECLARANTE,206489.0,MXN,ABAM750311HPURCR03,,,,,,,,,,,,
