curp,nombre,metadata.institucion,nivelOrdenGobierno,declaracion.situacionPatrimonial.datosEmpleoCargoComision.areaAdscripcion,declaracion.situacionPatrimonial.datosEmpleoCargoComision.contratadoPorHonorarios,declaracion.situacionPatrimonial.datosEmpleoCargoComision.nivelEmpleoCargoComision,edu_nivel,exp_privado,exp_publico,exp_total,n_vehiculos,n_vehiculos_lujo,valor_vehiculos,n_bienes,valor_bienes,valor_inversiones,patrimonio_total,ingreso_total_neto_2015,ingreso_total_neto_2016,ingreso_total_neto_2017,ingreso_total_neto_2018,ingreso_total_neto_2019,ingreso_total_neto_2020
ABAF800309HPURÑT08,Fatima Abreu Acuña,SERVICIO DE PROTECCIÓN FEDERAL,FEDERAL,Dirección General de Administración,False,O32,LICENCIATURA,12.1,0.0,12.1,6.0,2.0,695333.0,0.0,0.0,10954.0,706287.0,105560.0,506688.0,506688.0,506688.0,506688.0,506688.0
ABAG780123HVZYRL05,Gilberto Abeyta Adorno,COMISION NACIONAL DEL SISTEMA DE AHORRO PARA EL RETIRO,ESTATAL,Unidad de Asuntos Jurídicos,False,18,DOCTORADO,12.3,0.0,12.3,5.0,2.0,4359275.0,2.0,170266978.0,59315459.0,233941712.0,1514535.0,4854048.0,6030672.0,5115900.0,5262936.0,4329060.0
ABAM750311HPURCR03,Marcela Abreu Alcántar,ADMINISTRACION PORTUARIA INTEGRAL DE DOS BOCAS S.A. DE C.V.,MUNICIPAL,Dirección General de Vinculación,False,A33,LICENCIATURA,6.2,3.9,10.1,7.0,0.0,1646379.0,0.0,0.0,10186.0,1656565.0,125000.0,600000.0,600000.0,600000.0,600000.0,600000.0
ABAM881010MDFYVT07,Matías Abeyta Alvarado,"FONATUR OPERADORA PORTUARIA, S.A. DE C.V.",ESTATAL,Unidad de Transparencia,False,M34,LICENCIATURA,10.4,0.0,10.4,4.0,1.0,1756205.0,1.0,2605031.0,827536.0,5188772.0,357725.0,1624440.0,1595808.0,1698564.0,1631928.0,1588536.0
ABBA870314MSNRRN07,Adán Abrego Bernal,TRANSPORTADORA DE SAL S.A. DE C.V.,MUNICIPAL,Unidad de Asuntos Jurídicos,False,N34,MAESTRÍA,10.2,0.0,10.2,6.0,0.0,2657856.0,1.0,4937025.0,822358.0,8417239.0,315750.0,1314072.0,1106616.0,1302660.0,1179192.0,1177404.0
ABBE760411HAGRRR08,Eduardo Abrego Bermúdez,ADMINISTRACION PORTUARIA INTEGRAL DE TAMPICO S.A. DE C.V.,MUNICIPAL,Dirección General de Tecnologías de Información,False,N34,LICENCIATURA,11.9,0.0,11.9,5.0,0.0,2363427.0,0.0,0.0,817053.0,3180480.0,352610.0,1370424.0,1330572.0,1400388.0,1131720.0,1278516.0
ABBY881018HDFRRR05,Yaretzi Abreu Bernal,CENTRO NACIONAL DE CONTROL DE ENERGÍA,MUNICIPAL,Unidad de Asuntos Jurídicos,False,O33,LICENCIATURA,5.9,6.0,11.9,0.0,0.0,0.0,0.0,0.0,12945.0,12945.0,126855.0,608904.0,608904.0,608904.0,608904.0,608904.0
ABCE790011HVZRLL09,Emilio Abrego Colunga,ADMINISTRACION PORTUARIA INTEGRAL DE MAZATLAN S.A. DE C.V.,ESTATAL,Unidad de Transparencia,False,19,MAESTRÍA,11.4,0.0,11.4,9.0,5.0,8995151.0,3.0,92791594.0,74232142.0,176018887.0,1481090.0,5822808.0,5743260.0,6680724.0,5207400.0,4741452.0
ABCI870911MPURRN09,Irene Abreu Cervantes,AEROPUERTO INTERNACIONAL DE LA CIUDAD DE MEXICO S.A. DE C.V.,FEDERAL,Dirección General de Tecnologías de Información,False,A33,LICENCIATURA,6.2,4.1,10.3,6.0,1.0,1383366.0,0.0,0.0,13335.0,1396701.0,125000.0,600000.0,600000.0,600000.0,600000.0,600000.0
ABCR720008MSNRSB08,Rubén Abreu Cisneros,INSTITUTO NACIONAL DE ECOLOGÍA Y CAMBIO CLIMÁTICO,MUNICIPAL,Dirección General de Innovacion,False,N34,LICENCIATURA,6.1,5.9,12.0,4.0,0.0,1839614.0,1.0,8000717.0,968718.0,10809049.0,309565.0,1303176.0,1243536.0,1175844.0,1166748.0,1387032.0
ABEI730715HAGRPN07,Ivanna Abrego Esparza,COMISION NACIONAL DE VIVIENDA,ESTATAL,Dirección General de Administración,False,17,MAESTRÍA,12.2,0.0,12.2,4.0,2.0,2853620.0,3.0,165876450.0,70083508.0,238813578.0,1677445.0,4998492.0,4459464.0,5069580.0,4724640.0,5709540.0
ABFJ871119MPURGN02,Jennifer Abrego Figueroa,TRIBUNAL FEDERAL DE CONCILIACION Y ARBITRAJE,ESTATAL,Dirección General de Inteligencia,False,N33,MAESTRÍA,6.8,4.4,11.2,5.0,0.0,2135801.0,1.0,2896678.0,1504661.0,6537140.0,224200.0,1027296.0,1228752.0,1222116.0,1120452.0,1012260.0
ABJG820014MAGYRR08,Gerardo Abeyta Jurado,COLEGIO SUPERIOR AGROPECUARIO DEL ESTADO DE GUERRERO,MUNICIPAL,Unidad de Vinculación,False,N34,ESPECIALIDAD,6.9,6.6,13.5,4.0,0.0,1705675.0,1.0,3917190.0,604903.0,6227768.0,342135.0,1319988.0,1128264.0,1253664.0,1301328.0,1297812.0
ABNS890812MVZRZN06,Santiago Abrego Nazario,INSTITUTO NACIONAL DE ASTROFISICA OPTICA Y ELECTRONICA,FEDERAL,Unidad de Transparencia,False,J32,ESPECIALIDAD,6.4,6.3,12.7,8.0,4.0,4249528.0,3.0,89259349.0,77633902.0,171142779.0,1637150.0,5316384.0,5119728.0,6143748.0,5651964.0,4499232.0
ABPJ861006MSNYZN08,Juan Pablo Abeyta Paz,CENTRO NACIONAL DE CONTROL DE ENERGÍA,MUNICIPAL,Dirección General de Tecnologías de Información,False,19,ESPECIALIDAD,6.4,6.2,12.600000000000001,9.0,1.0,6691236.0,3.0,289545271.0,101691313.0,397927820.0,2024515.0,5279592.0,5259600.0,5797536.0,5543820.0,4709784.0
ABRH880427HDFRNR02,Horacio Abreu Rendón,PATRONATO DE OBRAS E INSTALACIONES DEL INSTITUTO POLITECNICO NACIONAL,ESTATAL,Dirección General de Innovacion,False,N33,ESPECIALIDAD,6.0,4.4,10.4,3.0,0.0,1288982.0,1.0,1955123.0,1529806.0,4773911.0,274890.0,1022100.0,1122036.0,1088640.0,1297152.0,1232184.0
ABVD720809HPUYLN06,Daniela Abeyta Valencia,FONDO ESPECIAL PARA FINANCIAMIENTOS AGROPECUARIOS,FEDERAL,Dirección General de Administración,False,N33,LICENCIATURA,6.5,5.8,12.3,4.0,0.0,1823912.0,1.0,839753.0,976757.0,3640422.0,273770.0,1146672.0,1190220.0,1097712.0,1063176.0,1238412.0
ACAA810708HVZÑYX01,Alexa Acuña Abeyta,SECRETARIADO EJECUTIVO DEL SISTEMA NACIONAL DE SEGURIDAD PUBLICA,MUNICIPAL,Dirección General de Administración,False,O32,LICENCIATURA,11.6,0.0,11.6,0.0,0.0,0.0,0.0,0.0,14905.0,14905.0,105560.0,506688.0,506688.0,506688.0,506688.0,506688.0
ACAL860910HPUSRL09,Liliana Acosta Arredondo,CENTRO DE INVESTIGACION EN MATEMATICAS A.C.,FEDERAL,Dirección General de Innovacion,False,M34,MAESTRÍA,6.9,4.8,11.7,7.0,4.0,3252347.0,1.0,4703395.0,858784.0,8814526.0,426525.0,1701192.0,1498980.0,1692888.0,1596552.0,1595160.0
ACBC840518MVZSRM06,Camila Acosta Bermúdez,LICONSA S.A. DE C.V.,FEDERAL,Dirección General de Administración,False,O33,LICENCIATURA,6.1,3.8,9.899999999999999,3.0,0.0,509319.0,1.0,1717838.0,9080.0,2236237.0,126855.0,608904.0,608904.0,608904.0,608904.0,608904.0
ACBF881003HDFVRR01,Francisco Javier Acevedo Brito,CENTRO DE INVESTIGACIONES EN OPTICA A.C.,MUNICIPAL,Dirección General de Vinculación,False,N34,LICENCIATURA,12.3,0.0,12.3,5.0,0.0,1930422.0,1.0,1301049.0,663214.0,3894685.0,286975.0,1156944.0,1261428.0,1310832.0,1368312.0,1224864.0
ACBJ720419HSNVÑL09,Julieta Acevedo Bañuelos,ADMINISTRACION PORTUARIA INTEGRAL DE ALTAMIRA S.A. DE C.V.,FEDERAL,Dirección General de Administración,False,A33,LICENCIATURA,9.4,0.0,9.4,3.0,1.0,521781.0,1.0,1248643.0,11426.0,1781850.0,125000.0,600000.0,600000.0,600000.0,600000.0,600000.0
ACBL890308MVZÑÑS04,Luisa Acuña Bañuelos,INSTITUTO NACIONAL DE ESTUDIOS HISTORICOS DE LAS REVOLUCIONES DE MEXICO,FEDERAL,Dirección General de Vinculación,False,N22,LICENCIATURA,6.2,3.9,10.1,6.0,1.0,947901.0,0.0,0.0,9243.0,957144.0,160000.0,768000.0,768000.0,768000.0,768000.0,768000.0
ACBM850110MDFSRR05,Marcela Acosta Berríos,NOTIMEX S.A. DE C.V.,MUNICIPAL,Dirección General de Administración,False,17,MAESTRÍA,6.0,4.1,10.1,7.0,5.0,7627152.0,3.0,223534850.0,119528513.0,350690515.0,1637335.0,4627872.0,5222172.0,4424148.0,4139376.0,5146380.0
ACBR890726HVZSRL02,Raúl Acosta Brito,FONDO DE CULTURA ECONOMICA,ESTATAL,Dirección General de Vinculación,False,O32,LICENCIATURA,5.4,6.0,11.4,0.0,0.0,0.0,1.0,1479159.0,28206.0,1507365.0,105560.0,506688.0,506688.0,506688.0,506688.0,506688.0
ACBS730510MVZVRL09,Soledad Acevedo Bernal,RADIO EDUCACION,MUNICIPAL,Unidad de Vinculación,False,18,MAESTRÍA,12.2,0.0,12.2,7.0,3.0,7770610.0,3.0,281943984.0,81959362.0,371673956.0,1610185.0,4761912.0,5757264.0,5762952.0,5249544.0,5265060.0
ACCA710224MAGÑHS05,Agustín Acuña Chavarría,INSTITUTO NACIONAL DE BELLAS ARTES Y LITERATURA,FEDERAL,Dirección General de Inteligencia,False,17,MAESTRÍA,5.4,5.6,11.0,8.0,4.0,8214092.0,3.0,259383117.0,98438454.0,366035663.0,1786120.0,4930284.0,5086320.0,5632236.0,4214028.0,4456980.0
ACCI870702HVZVRN09,Ignacio Acevedo Carreón,BANCO DEL AHORRO NACIONAL Y SERVICIOS FINANCIEROS S N C,MUNICIPAL,Unidad de Transparencia,False,O32,LICENCIATURA,6.9,4.2,11.100000000000001,5.0,0.0,1154062.0,0.0,0.0,61705.0,1215767.0,105560.0,506688.0,506688.0,506688.0,506688.0,506688.0
ACCM840324HVZVBR04,María de los Ángeles Acevedo Ceballos,COMISION REGULADORA DE ENERGIA,FEDERAL,Dirección General de Vinculación,False,22,DOCTORADO,5.9,4.0,9.9,5.0,3.0,4175675.0,3.0,239285722.0,51623236.0,295084633.0,1826310.0,5617236.0,5887380.0,5927352.0,6456696.0,5242536.0
ACDJ891013HAGSMN05,Jennifer Acosta Domínquez,COMISION NACIONAL DE AREAS NATURALES PROTEGIDAS,ESTATAL,Unidad de Tecnologías de Información y Comunicaciones,False,M34,LICENCIATURA,10.4,0.0,10.4,3.0,0.0,1569257.0,1.0,2842265.0,1025214.0,5436736.0,375845.0,1609848.0,1571076.0,1648788.0,1782528.0,1642392.0
ACFA830526HDFVLN05,Adán Acevedo Flores,"CIATEC, A.C. CENTRO DE INNOVACION APLICADA EN TECNOLOGIAS COMPETITIVAS",FEDERAL,Unidad de Asuntos Jurídicos,False,17,MAESTRÍA,6.5,4.0,10.5,7.0,5.0,3901571.0,3.0,178817143.0,83955460.0,266674174.0,1532525.0,4802016.0,4404348.0,4071624.0,4723812.0,5026800.0
ACFX720301MVZVLM02,Ximena Acevedo Flores,CFE GENERACIÓN I,ESTATAL,Unidad de Administración,False,N22,LICENCIATURA,12.5,0.0,12.5,4.0,0.0,856600.0,0.0,0.0,27991.0,884591.0,160000.0,768000.0,768000.0,768000.0,768000.0,768000.0
ACLJ860822MVZSYM06,Jimena Acosta Loya,INSTITUTO NACIONAL DE LAS MUJERES,MUNICIPAL,Dirección General de Vinculación,False,N33,LICENCIATURA,6.0,4.4,10.4,5.0,0.0,2281197.0,1.0,4550270.0,473054.0,7304521.0,209965.0,1074444.0,1039704.0,1114356.0,1075044.0,1121460.0
ACMD880226HSNSTN02,Daniela Acosta Mateo,TRIBUNALES UNITARIOS AGRARIOS,MUNICIPAL,Unidad de Tecnologías de Información y Comunicaciones,False,M34,ESPECIALIDAD,6.4,5.2,11.600000000000001,3.0,0.0,1431909.0,1.0,9485370.0,767436.0,11684715.0,362075.0,1680216.0,1607592.0,1771824.0,1642344.0,1651956.0
ACMF780212HVZÑNT02,Fatima Acuña Montemayor,COMISION NAL. PARA LA PROTECCION Y DEFENSA DE LOS USUARIOS DE SERVICIOS FINANCIEROS,FEDERAL,Unidad de Transparencia,False,O32,LICENCIATURA,6.3,5.8,12.1,5.0,1.0,770204.0,0.0,0.0,15571.0,785775.0,105560.0,506688.0,506688.0,506688.0,506688.0,506688.0
ACMN740927MPUVNT03,Natalia Acevedo Manzanares,FERROCARRILES NACIONALES DE MEXICO,MUNICIPAL,Dirección General de Tecnologías de Información,False,22,MAESTRÍA,5.7,6.5,12.2,6.0,5.0,7159018.0,3.0,209998062.0,70876144.0,288033224.0,1930715.0,5994096.0,6446244.0,6374496.0,5992212.0,6390588.0
ACNT700507MSNVRD08,Teodoro Acevedo Noriega,COLEGIO NACIONAL DE EDUCACION PROFESIONAL TECNICA,MUNICIPAL,Unidad de Asuntos Jurídicos,False,O32,LICENCIATURA,5.6,4.1,9.7,0.0,0.0,0.0,0.0,0.0,25548.0,25548.0,105560.0,506688.0,506688.0,506688.0,506688.0,506688.0
ACOC721011MSNVVN08,Conchita Acevedo Olivera,ADMINISTRACION PORTUARIA INTEGRAL DE ENSENADA S.A. DE C.V.,ESTATAL,Unidad de Asuntos Jurídicos,False,M34,MAESTRÍA,12.0,0.0,12.0,4.0,0.0,1684148.0,1.0,2887852.0,1588613.0,6160613.0,367605.0,1623948.0,1703916.0,1516524.0,1661028.0,1691904.0
ACQA860808HDFVZL07,Adela Acevedo Quezada,CENTRO DE INVESTIGACION Y SEGURIDAD NACIONAL,FEDERAL,Unidad de Vinculación,False,O33,LICENCIATURA,11.1,0.0,11.1,5.0,1.0,1252722.0,0.0,0.0,6366.0,1259088.0,126855.0,608904.0,608904.0,608904.0,608904.0,608904.0
ACRA880311MVZÑLX04,Alexis Acuña Rolón,UNIVERSIDAD ABIERTA Y A DISTANCIA DE MÉXICO,MUNICIPAL,Unidad de Tecnologías de Información y Comunicaciones,False,N33,LICENCIATURA,11.5,0.0,11.5,4.0,0.0,1833030.0,1.0,8783179.0,1420456.0,12036665.0,246550.0,1136100.0,1156212.0,1119132.0,1169652.0,1200552.0
ACRG771021HAGÑYL04,Gael Acuña Roybal,CASA DE MONEDA DE MEXICO,FEDERAL,Dirección General de Tecnologías de Información,False,M34,LICENCIATURA,11.2,0.0,11.2,4.0,0.0,1662219.0,1.0,8758323.0,1216634.0,11637176.0,379435.0,1665372.0,1655280.0,1756620.0,1763376.0,1771464.0
ACSE870702MAGVRundefined01,Eva Acevedo Sierra,CONSEJO NACIONAL DE CIENCIA Y TECNOLOGIA,ESTATAL,Dirección General de Inteligencia,False,J32,ESPECIALIDAD,13.7,0.0,13.7,7.0,3.0,7644158.0,3.0,135692752.0,71643964.0,214980874.0,1849925.0,5163708.0,4709208.0,5274828.0,5362188.0,4704156.0
ACTJ871012MAGVVS01,José Antonio Acevedo Tovar,UNIVERSIDAD AUTONOMA DE CHAPINGO,MUNICIPAL,Unidad de Asuntos Jurídicos,False,M34,MAESTRÍA,11.9,0.0,11.9,5.0,0.0,2461037.0,1.0,2608885.0,809351.0,5879273.0,395115.0,1677696.0,1763484.0,1641360.0,1652376.0,1729800.0
