id,fechaCaptura,ejercicioFiscal,rfc,curp,nombres,primerApellido,segundoApellido,tipoArea,nivelResponsabilidad,tipoProcedimiento,observaciones,ramo.clave,ramo.valor,genero.clave,genero.valor,institucionDependencia.nombre,institucionDependencia.siglas,institucionDependencia.clave,puesto.nombre,puesto.nivel,superiorInmediato.nombres,superiorInmediato.primerApellido,superiorInmediato.segundoApellido,superiorInmediato.curp,superiorInmediato.rfc,superiorInmediato.puesto.nombre,superiorInmediato.puesto.nivel,puesto,superiorInmediato.genero.clave,superiorInmediato.genero.valor,institucion_merge
8a54a1ce-98b4-40f9-a52c-a272ed56f238,2018-05-21T17:32:28Z,2018,ROCA9005303Z8,ROCA900530MYNDLL04,Alejandra,Rodríguez,Calderón,"[{'clave': 'T', 'valor': 'TÉCNICA'}, {'clave': 'RE', 'valor': 'RESPONSABLE DE LA EJECUCIÓN'}]","[{'clave': 'R', 'valor': 'RESOLUCIÓN'}]","[{'clave': 1, 'valor': ''}]",,23,Provisiones salariales y económicas,F,FEMENINO,SECRETARÍA DE ENERGÍA,SENER,XYZ987,DIRECTOR DE ADMINISTRACIÓN DE BIENES INFORMÁTICOS,M11,PEDRO,CRUZ,MEDINA,CUMP770826HMNRDD96,CUMP7708269R6,Director General,CFM2300003,,,,secretariadeenergia
1d6f5b03-0e18-4b1b-8b73-e11680a89bb8,2016-06-03T07:07:26Z,2016,CÓGP760116E91,CÓGP760116HAGRVT08,Patricio,Córdova,Guevara,"[{'clave': 'RC', 'valor': 'RESPONSABLE DE LA CONTRATACIÓN'}, {'clave': 'T', 'valor': 'TÉCNICA'}, {'clave': 'RE', 'valor': 'RESPONSABLE DE LA EJECUCIÓN'}]","[{'clave': 'A', 'valor': 'ATENCIÓN'}]","[{'clave': 1, 'valor': 'CONTRATACIONES PÚBLICAS'}]",,28,Participaciones a Entidades Federativas y Municipios,M,MASCULINO,SERVICIO DE INFORMACION AGROALIMENTARIA Y PESQUERA,ICIO,ERV,,,Safiya,MONTOUTO,TALSI,MOTS831018MDFNLF54,MOTS831018A14,Director General,K31,Jefe de Departamento,F,FEMENINO,serviciodeinformacionagroalimentariaypesquera
13c81925-aa43-4c11-834c-7ceaca3f1ed1,2016-02-07T05:17:02Z,2016,CASC850118D51,CASC850118HVZRLR03,Carlos,Caraballo,Saldaña,[],"[{'clave': 'O', 'valor': 'OTRO'}, {'clave': 'A', 'valor': 'ATENCIÓN'}]","[{'clave': 4, 'valor': 'ASIGNACIÓN Y EMISIÓN DE DICTÁMENES DE AVALÚOS NACIONALES'}, {'clave': 1, 'valor': 'CONTRATACIONES PÚBLICAS'}]",,28,Participaciones a Entidades Federativas y Municipios,M,MASCULINO,SERVICIOS DE ALMACENAMIENTO DEL NORTE S.A.,ICIO,ERV,,,Raizy,DAGUERRE,LAVIADA,DALR971211MOXGVZ21,DALR971211A46,Jefe de departamento,O21,Secretario/a de Estado A,F,FEMENINO,serviciosdealmacenamientodelnortesa
2f52789d-31d1-4299-9fcf-19484f4af554,2021-11-21T12:22:02Z,2021,FOOF890119E26,FOOF890119MAGNZL09,Florencia,Fonseca,Orozco,[],"[{'clave': 'A', 'valor': 'ATENCIÓN'}]",[],,28,Participaciones a Entidades Federativas y Municipios,F,FEMENINO,INSTITUTO NACIONAL DE BELLAS ARTES Y LITERATURA,ITUT,NST,,,Haydn,FORADADA,MONTESDEOCA,FOMH750903HVZRNY66,FOMH750903C34,Subdirector,N31,Director General Paraestatal A,M,MASCULINO,institutonacionaldebellasartesyliteratura
c2e3ebf4-90c5-4ee0-8e4e-c462f4db04ec,2020-06-02T21:43:31Z,2020,NAKG810014A41,NAKG810014MSNVNR04,Gregorio,Navarro,Kano,"[{'clave': 'R', 'valor': 'REQUIRENTE'}, {'clave': 'RC', 'valor': 'RESPONSABLE DE LA CONTRATACIÓN'}, {'clave': 'RE', 'valor': 'RESPONSABLE DE LA EJECUCIÓN'}]","[{'clave': 'A', 'valor': 'ATENCIÓN'}, {'clave': 'T', 'valor': 'TRAMITACIÓN'}]","[{'clave': 2, 'valor': 'CONCESIONES, LICENCIAS, PERMISOS, AUTORIZACIONES Y SUS PRÓRROGAS'}]",,28,Participaciones a Entidades Federativas y Municipios,F,FEMENINO,COMISION NACIONAL DE ACUACULTURA Y PESCA,SION,OMI,,,Emiliana,GONDA,MAREGA,GOME890501MVZNRL70,GOME890501E15,Jefe de departamento,O21,Subdirector de Area,F,FEMENINO,comisionnacionaldeacuaculturaypesca
c2520f60-8fbc-40f6-bbcf-43f46d274b68,2021-08-22T16:30:34Z,2021,GUKS780803D39,GUKS780803MPURZL03,Salvador,Guerra,Kuzmina,"[{'clave': 'O', 'valor': 'OTRA'}, {'clave': 'RC', 'valor': 'RESPONSABLE DE LA CONTRATACIÓN'}]","[{'clave': 'T', 'valor': 'TRAMITACIÓN'}]","[{'clave': 4, 'valor': 'ASIGNACIÓN Y EMISIÓN DE DICTÁMENES DE AVALÚOS NACIONALES'}]",,28,Participaciones a Entidades Federativas y Municipios,F,FEMENINO,CFE GENERACIÓN II,GENE,FE ,,,Bunny,CATEURA,SABAO,CASB730506MOXTBN10,CASB730506B95,Director,M32,Director General Adjunto,F,FEMENINO,cfegeneracionii
c9a03041-2caa-49c7-a5f7-a9a5c18c0224,2015-12-27T19:54:20Z,2015,GIRE730008D47,GIRE730008MAGLVL03,Emiliano,Gil,Rivero,"[{'clave': 'R', 'valor': 'REQUIRENTE'}, {'clave': 'RE', 'valor': 'RESPONSABLE DE LA EJECUCIÓN'}]","[{'clave': 'T', 'valor': 'TRAMITACIÓN'}]","[{'clave': 3, 'valor': 'ENAJENACIÓN DE BIENES MUEBLES'}, {'clave': 2, 'valor': 'CONCESIONES, LICENCIAS, PERMISOS, AUTORIZACIONES Y SUS PRÓRROGAS'}]",,28,Participaciones a Entidades Federativas y Municipios,F,FEMENINO,INSTITUTO NACIONAL PARA EL FEDERALISMO Y EL DESARROLLO MUNICIPAL,ITUT,NST,,,Krystyna,YERMAK,RAPELA,YERK770728MVZRPR48,YERK770728B88,Director General Adjunto,L31,Jefe de Departamento,F,FEMENINO,institutonacionalparaelfederalismoyeldesarrollomunicipal
2b9c09e1-e0b1-4748-9ddd-dda861ec19f1,2015-05-13T19:48:56Z,2015,ARCP700712C24,ARCP700712MAGRRT09,Patricio,Arredondo,Cortés,"[{'clave': 'C', 'valor': 'CONTRATANTE'}, {'clave': 'RE', 'valor': 'RESPONSABLE DE LA EJECUCIÓN'}, {'clave': 'RC', 'valor': 'RESPONSABLE DE LA CONTRATACIÓN'}]","[{'clave': 'O', 'valor': 'OTRO'}, {'clave': 'A', 'valor': 'ATENCIÓN'}, {'clave': 'R', 'valor': 'RESOLUCIÓN'}]","[{'clave': 2, 'valor': 'CONCESIONES, LICENCIAS, PERMISOS, AUTORIZACIONES Y SUS PRÓRROGAS'}, {'clave': 1, 'valor': 'CONTRATACIONES PÚBLICAS'}]",,33,Aportaciones Federales para Entidades Federativas y Municipios,F,FEMENINO,COMISION NACIONAL DE PROTECCION SOCIAL EN SALUD,SION,OMI,,,Aiden,ELOLA,ORTA,ELOA841226MOXLTN27,ELOA841226A25,Director General,K31,Subadministrador,F,FEMENINO,comisionnacionaldeproteccionsocialensalud
da97b8fd-89aa-49d1-af04-9c674422772e,2017-06-28T14:33:34Z,2017,VIAR720106C50,VIAR720106HPULDN04,Reina,Villalpando,Amador,"[{'clave': 'C', 'valor': 'CONTRATANTE'}]","[{'clave': 'T', 'valor': 'TRAMITACIÓN'}]","[{'clave': 2, 'valor': 'CONCESIONES, LICENCIAS, PERMISOS, AUTORIZACIONES Y SUS PRÓRROGAS'}, {'clave': 4, 'valor': 'ASIGNACIÓN Y EMISIÓN DE DICTÁMENES DE AVALÚOS NACIONALES'}]",,33,Aportaciones Federales para Entidades Federativas y Municipios,M,MASCULINO,SECRETARIADO EJECUTIVO DEL SISTEMA NACIONAL ANTICORRUPCIÓN,ETAR,ECR,,,Kaliah,GALE,TRAPIELLO,GATK970513MOXLRL73,GATK970513B93,Subdirector,N31,Director General Paraestatal C,F,FEMENINO,secretariadoejecutivodelsistemanacionalanticorrupcion
ea7248be-b079-491b-867c-75cf8870dad0,2016-04-28T19:21:51Z,2016,KRXL750918D17,KRXL750918HVZRCC03,Lucia,Krasnova,Xacon,"[{'clave': 'O', 'valor': 'OTRA'}, {'clave': 'RE', 'valor': 'RESPONSABLE DE LA EJECUCIÓN'}]","[{'clave': 'O', 'valor': 'OTRO'}]","[{'clave': 1, 'valor': 'CONTRATACIONES PÚBLICAS'}]",,33,Aportaciones Federales para Entidades Federativas y Municipios,M,MASCULINO,SERVICIOS AEROPORTUARIOS DE LA CIUDAD DE MEXICO S.A. DE C.V.,ICIO,ERV,,,Amilia,FEMENIAS,COTRINA,FECA830505MVZMTL97,FECA830505E21,Director General Adjunto,L31,Subdirector de Area,F,FEMENINO,serviciosaeroportuariosdelaciudaddemexicosadecv
